,PC1,PC2
sample_0,-3.9785355864986744,-3.5918135018346558
sample_1,-9.67117138867754,-8.398340082782351
sample_2,-9.113153276557712,-3.66372066291264
sample_3,-10.64299021784683,-0.2725698400055464
sample_4,-11.29681212030312,3.529458821403651
sample_5,-13.810226019534712,4.223777620023496
sample_6,-16.625163593984812,-0.040188052128318864
sample_7,-18.79701656112069,2.3577222245440055
sample_8,-21.318039289973246,-2.778096758773347
sample_9,-25.38348409716999,7.162969501852326
sample_10,-21.28212850058882,1.2257032496883815
sample_11,-26.711658828702173,1.5110177625101084
sample_12,-30.47454919534099,3.8514704832037263
sample_13,-30.244343323097617,1.6195399887483943
sample_14,-30.172769475105213,1.5522229452884266
sample_15,-33.79464046004053,0.8172068229880233
sample_16,-32.119934416138996,0.9478663180250803
sample_17,-34.242420432657816,-0.5338726427395635
sample_18,-39.00573896511811,-3.5088117962430654
sample_19,-40.12780959545763,9.42993350700538
sample_20,-39.6043695305264,-1.64162143160056
sample_21,-39.683822055984486,1.4023288799795082
sample_22,-42.160916648412645,1.8288276022618675
sample_23,-39.651691941967265,-0.4490462758703666
sample_24,-45.52967695792013,-3.1322102242741168
sample_25,-40.43482395054723,1.5591308289819583
sample_26,-40.63530160002496,-4.137934612741383
sample_27,-41.2242579888061,-0.19685081082486555
sample_28,-46.23941150939352,3.412759673100589
sample_29,-45.26561733329054,0.27280577732061606
sample_30,-46.75609166772072,0.8281779800621593
sample_31,-45.406323390798285,-1.9010812153738323
sample_32,-43.7545362024093,1.472147613655013
sample_33,-47.782640067395626,3.2916047158825212
sample_34,-46.664145637437024,0.5741399439093274
sample_35,-48.95519616964055,2.6237837133345008
sample_36,-46.50724151948422,-1.2018294048626037
sample_37,-50.823951791977024,0.1605779562318418
sample_38,-52.42154326763623,-1.905538979712174
sample_39,-51.410260249622176,-4.327840791830765
sample_40,-51.22862237674358,-3.232336727555668
sample_41,-47.8186068212641,-2.6287825751682017
sample_42,-49.11934183908814,-0.5722874216040718
sample_43,-51.21843325820844,-4.4724072661441845
sample_44,-46.86275929800314,-2.5062187193877827
