Rank,Overlap,Sequence_Depth,Method,Metric,value
2,0,100,IterativeSVD,KL-Div,34.227749132526256
2,0,100,KNN,KL-Div,34.124174906881485
2,0,100,OptSpace,KL-Div,31.406862474765884
2,0,100,SoftImpute,KL-Div,32.55236990183012
2,0,100,rclr-IterativeSVD,KL-Div,0.0021510134544242988
2,0,100,rclr-KNN,KL-Div,0.0022669024027455365
2,0,100,rclr-OptSpace,KL-Div,0.002157418121659941
2,0,100,rclr-SoftImpute,KL-Div,0.0021474683061697038
2,0,1000,IterativeSVD,KL-Div,52.050841294553855
2,0,1000,KNN,KL-Div,53.30695542752329
2,0,1000,OptSpace,KL-Div,48.73913887293584
2,0,1000,SoftImpute,KL-Div,50.02069179382478
2,0,1000,rclr-IterativeSVD,KL-Div,0.0020475429842539378
2,0,1000,rclr-KNN,KL-Div,0.0023569804644383925
2,0,1000,rclr-OptSpace,KL-Div,0.0021768276713635547
2,0,1000,rclr-SoftImpute,KL-Div,0.002048595932315398
2,0,2000,IterativeSVD,KL-Div,95.23289528967105
2,0,2000,KNN,KL-Div,101.12675723356115
2,0,2000,OptSpace,KL-Div,92.2416317754581
2,0,2000,SoftImpute,KL-Div,92.90520505318086
2,0,2000,rclr-IterativeSVD,KL-Div,0.0017796324811699717
2,0,2000,rclr-KNN,KL-Div,0.00235359558433643
2,0,2000,rclr-OptSpace,KL-Div,0.0020696384567543227
2,0,2000,rclr-SoftImpute,KL-Div,0.0017747215720014232
2,0,5000,IterativeSVD,KL-Div,224.52904718012184
2,0,5000,KNN,KL-Div,243.72936064440682
2,0,5000,OptSpace,KL-Div,223.08047092667832
2,0,5000,SoftImpute,KL-Div,220.20118037345688
2,0,5000,rclr-IterativeSVD,KL-Div,0.0012170348319051373
2,0,5000,rclr-KNN,KL-Div,0.0013274977559747066
2,0,5000,rclr-OptSpace,KL-Div,0.0017796052989444144
2,0,5000,rclr-SoftImpute,KL-Div,0.0012038587759582635
2,0,10000,IterativeSVD,KL-Div,442.44140597136976
2,0,10000,KNN,KL-Div,481.77092653377315
2,0,10000,OptSpace,KL-Div,441.8675367572602
2,0,10000,SoftImpute,KL-Div,431.2526978676361
2,0,10000,rclr-IterativeSVD,KL-Div,0.0008054336906488021
