,PC1,PC2,2,3,4
sample_0,-1.6684358781517905,1.4448604019007907,1.2319064763785248,-0.9569971987064178,-0.601271673639127
sample_1,-1.5670986980209924,1.3735313912482763,1.1835969050871227,-0.920432958540857,-0.584663858707487
sample_2,-1.5935530094386985,1.4207850443201246,1.2326723071105765,-0.9675024721934099,-0.6102222899296985
sample_3,-1.4566872737625753,1.3428195145192992,1.1926036975084702,-0.9438637186469113,-0.6053282495494378
sample_4,-1.4826018240830237,1.3886391761658758,1.2381155756682198,-0.9902640112011836,-0.6256958775867559
sample_5,-1.5028661524682831,1.3837790761805324,1.2311587221120086,-0.9796575020687538,-0.6279957229584537
sample_6,-1.3956601475397854,1.3824342880442388,1.2799505963193034,-1.0449647331644814,-0.6673652429299706
sample_7,-1.477977309944742,1.418748491258439,1.2803588589161625,-1.0362980546508047,-0.6504227879618988
sample_8,-1.4464787306290219,1.3764534939073194,1.2553858682524506,-1.0198711346968805,-0.6533566117638501
sample_9,-1.3038090982884034,1.3307611817318623,1.2610485773109255,-1.0554801969803689,-0.6736964370667495
sample_10,-1.2957542884178235,1.317711130659886,1.2470322261994422,-1.0391582120508482,-0.6690413261571563
sample_11,-1.2652754506707922,1.3568027220532333,1.3252350401280628,-1.127935952850209,-0.7234769317067535
sample_12,-1.1975034459146732,1.3132777461557823,1.3022323462491923,-1.123198929818828,-0.7242042794292392
sample_13,-1.1371103083494158,1.2643907132440877,1.2526749674433018,-1.0753670246979032,-0.6950027913262473
sample_14,-0.9429147987338546,1.1667556676185191,1.227976896702756,-1.087819379877613,-0.7124781541031449
sample_15,-0.9752425002669312,1.1913306839407747,1.2579880642216308,-1.122424500648958,-0.732343427655034
sample_16,-0.8794310363018495,1.1831254841425676,1.2856904554702906,-1.1604444498903612,-0.7599198565241388
sample_17,-0.8484422881583378,1.1264121720603975,1.2450386844914454,-1.1395808874181155,-0.757302989551812
sample_18,-0.7612405023707846,1.0946431719721736,1.2384024650908456,-1.1456708704572156,-0.7585498680846939
sample_19,-0.6231334469982927,1.0108345259048095,1.2077416012174114,-1.1370751607916367,-0.7649965305977382
sample_20,-0.6083610144837716,0.9970932348125088,1.1965385497497434,-1.1376894435737739,-0.7633218505056786
sample_21,-0.6455072677424043,1.0715580988147408,1.2802638318858204,-1.2170777825946872,-0.8145753533935551
sample_22,-0.5367973828658699,0.9817984457816685,1.2106067455492973,-1.1587062945674198,-0.7841296062764401
