,PC1,PC2
sample_0,-304.83002202529195,-199.4149600794903
sample_1,-313.05296546276577,-189.16249879596933
sample_2,-320.0884591234896,-217.2217535433994
sample_3,-294.99260986118765,-180.10276025622125
sample_4,-310.1984257115517,-196.63850216058677
sample_5,-301.83818031711024,-187.5456907421914
sample_6,-321.4848017628568,-197.80953366136126
sample_7,-301.31736496103787,-178.44746133449323
sample_8,-307.35678696949935,-176.57278104469466
sample_9,-308.5682370223718,-186.56202362047998
sample_10,-313.15280372423337,-180.7274581680663
sample_11,-279.1265012874069,-140.46223054175795
sample_12,-291.523815678611,-150.3704939366667
sample_13,-276.9742660975992,-147.59557954441289
sample_14,-276.362444260838,-136.7874356613599
sample_15,-280.22956949284173,-135.07364759303027
sample_16,-292.5041103101106,-141.19969853682616
sample_17,-298.52391334000066,-144.74919513907778
sample_18,-273.03147922418134,-122.20768052223664
sample_19,-262.93426657386374,-113.4741699336213
sample_20,-288.5297932539139,-129.2054432922563
sample_21,-275.9143614860551,-116.07529683755179
sample_22,-291.3021025308442,-135.73057284932563
sample_23,-285.254995409525,-118.49676201987388
sample_24,-263.19495022371683,-98.08073298166529
sample_25,-294.1567662958227,-113.2303828432918
sample_26,-260.63810982542833,-93.1737064176741
sample_27,-266.89499416839294,-95.27774570375689
sample_28,-260.369626723175,-82.05110464645723
sample_29,-266.46406167081176,-94.0714401082002
sample_30,-253.70643889447248,-64.034961352868
sample_31,-254.96980350780527,-68.27238863585626
sample_32,-259.9937170082428,-71.82041362418062
sample_33,-265.5787912438533,-68.43134740031824
sample_34,-278.31864925029095,-78.09996470910477
sample_35,-257.81711739783196,-57.46282941894993
sample_36,-250.55847870732484,-52.91350046783704
sample_37,-247.0520550340057,-45.640004901176034
sample_38,-239.602682778379,-30.53921813504331
sample_39,-252.84949398867963,-38.35661051799499
sample_40,-231.31136510766146,-39.26307232531963
sample_41,-226.9534382465788,-16.77756807658192
sample_42,-236.0254511465377,-35.685757518601974
sample_43,-244.93859574183622,-16.70775278934985
sample_44,-217.9581590197839,-4.693309253251225
sample_45,-228.06357338130573,-10.287828507961365
sample_46,-201.3703525344781,-6.452561706996047
sample_47,-214.76901491820385,2.018401598089883
sample_48,-204.57508293780597,18.34864722256071
sample_49,-218.21532463706978,10.823582776159558
sample_50,-198.46870507428636,6.566538534074066
sample_51,-205.28277276031878,16.26015971867545
sample_52,-201.3575517503614,20.77964977905171
sample_53,-193.28866789220243,29.94236503770521
sample_54,-176.7696007633812,37.95899403941448
sample_55,-168.8649719730543,44.87368184941264
sample_56,-171.36451867266734,38.30120415650589
sample_57,-182.63783769000014,47.27514136441964
sample_58,-175.46354035011785,64.92841719474899
sample_59,-181.59423782116394,71.82732278258833
sample_60,-157.29145528602334,66.49973265314817
sample_61,-162.86273523314824,79.35204328733577
sample_62,-159.77001563287024,75.79757659206858
sample_63,-162.15954268732457,74.15169165910211
sample_64,-155.455968211635,67.44090897723311
sample_65,-158.32054156605753,86.22647951993451
sample_66,-153.9434015731591,87.34909185343002
sample_67,-144.65410425567202,88.99874169935497
sample_68,-143.76473246747398,93.97288262544618
sample_69,-150.6011817040523,93.80133342273831
sample_70,-143.59470779430617,108.82792155081086
sample_71,-130.56167165205616,96.05409317756272
sample_72,-128.41152574577418,108.28167509806171
sample_73,-122.29729914183872,111.54613257771769
sample_74,-113.59468105890997,97.36144643364688
sample_75,-112.79869248430462,113.45741009544162
sample_76,-102.78625110233934,109.86299784125688
sample_77,-103.04883623210642,127.66243622808977
sample_78,-106.0763792037811,125.5851996731291
sample_79,-90.4855702728239,135.95329450543716
sample_80,-97.88052794466888,142.0351695915812
sample_81,-84.36548362908863,123.55411900676668
sample_82,-83.91690455591952,140.72061097171004
sample_83,-80.45862635313799,130.58558482524458
sample_84,-63.58732618950376,137.77430843848643
sample_85,-66.4854552645448,142.4690975931781
sample_86,-57.327144783266846,132.73930997150921
sample_87,-61.77514545768871,148.20019211666198
sample_88,-52.621273539999834,145.04408137451344
sample_89,-53.5093943332692,135.92409858242246
sample_90,-44.45531006618418,154.40594016523926
sample_91,-35.496916423290365,159.80270894346862
sample_92,-21.81847963589111,160.1809650867001
sample_93,-14.742415649734962,149.4201202047095
sample_94,-23.951361010640593,140.8787655325585
sample_95,-20.849717993438183,146.30853620208126
sample_96,-12.106973224330373,151.3387319943669
sample_97,-10.651366276337109,157.91261561629835
sample_98,-2.4639645622827078,163.04690294692838
sample_99,-1.422971199919465,157.320109130623
sample_100,-1.6011139501467275,165.49257346668992
sample_101,19.99052475626497,150.22405103633517
sample_102,19.120630582640846,160.78729389458965
sample_103,12.697129292798882,153.91102476489746
sample_104,26.558302007377883,140.97549023871684
sample_105,17.21838157212001,152.30667857928282
sample_106,31.429666762838757,156.28067761745174
sample_107,33.13322877523818,152.32044284959466
sample_108,44.861379297166465,156.6418052428325
sample_109,57.75790454668879,160.21769492712622
sample_110,50.358590891630776,154.50706459076008
sample_111,57.610948996044804,149.5015061002271
sample_112,61.72425675789178,134.4814391952572
sample_113,71.51794324059911,130.59737016574263
sample_114,85.23957050331892,149.34582186919667
sample_115,76.18554835613548,125.96654133756302
sample_116,79.02698706711966,130.38342550096053
sample_117,93.22638193142619,140.6000377504223
sample_118,83.69249919655451,131.5622898200355
sample_119,85.99228469145069,129.83975040704934
sample_120,111.10777743621374,122.01541212532828
sample_121,96.46495536104726,116.7868028564248
sample_122,107.68854560489017,106.83085927603202
sample_123,113.59367097586801,117.44043961730993
sample_124,111.47916435230964,103.37961941729655
sample_125,124.98475781754141,111.30187451478068
sample_126,121.20882756175332,117.96432442221523
sample_127,125.51884346241303,102.07079169839567
sample_128,139.86710210412892,102.232990610177
sample_129,140.6117539660915,97.22564843331983
sample_130,135.3185418052875,89.94881538433333
sample_131,145.42596439216007,87.01989787467502
sample_132,150.59530919788307,76.68271815056623
sample_133,148.43991315707976,78.54123480146524
sample_134,159.93292855670978,80.25987719606105
sample_135,170.70190894698564,63.64795966089167
sample_136,172.26925910918922,69.93717609568054
sample_137,171.4369566549938,76.69105396132645
sample_138,170.25147670561603,60.199388308707974
sample_139,171.55875025447392,49.69395923483906
sample_140,178.6765020763287,51.38798572497086
sample_141,191.43667592508416,43.71511169504061
sample_142,193.61758870719365,54.69920515319587
sample_143,196.4984896693021,47.18090108793211
sample_144,192.3560941307827,34.369884318667594
sample_145,198.7303740926348,26.827364032609992
sample_146,194.08765591729016,16.580466481247893
sample_147,194.64987281597433,15.361177136189221
sample_148,210.46105056389098,18.42312808915654
sample_149,200.054310567532,2.2118791235663204
sample_150,215.23359879014367,-6.353267294242873
sample_151,209.55671399911364,-2.2263127437097636
sample_152,219.45629832612454,13.357989585683193
sample_153,219.0212264444738,0.2540145420945584
sample_154,227.07795819541013,-18.331098093105343
sample_155,230.04656722782957,-21.068604970348414
sample_156,240.06385853953458,-22.242167392963584
sample_157,237.17777343808,-34.52799585461106
sample_158,229.33794274764222,-26.486910546188252
sample_159,235.78114579058482,-34.8887171480246
sample_160,238.6237459409057,-44.946113587370355
sample_161,245.30638683418033,-40.14909209369405
sample_162,257.9922814676459,-67.05575452693172
sample_163,243.9139872746458,-48.67887745279954
sample_164,260.68518436139925,-62.618376074936094
sample_165,247.18089592173422,-62.78096811706846
sample_166,251.0118412307614,-66.64841073689354
sample_167,272.84578022502023,-86.30363687108395
sample_168,277.4702328354215,-100.27906024600448
sample_169,247.48381201533076,-65.1040728293107
sample_170,248.11096809088872,-77.2418716306341
sample_171,245.71008223852894,-76.35739369015928
sample_172,254.6356826467155,-80.35968265961863
sample_173,264.96340580169897,-107.11649169112859
sample_174,270.5046522588281,-116.9866348817165
sample_175,266.36805110807546,-99.32088547563441
sample_176,267.6689052935712,-108.69670349535801
sample_177,263.98810917407366,-106.45242855853903
sample_178,268.2113890131136,-126.31702069069573
sample_179,290.49442864796447,-139.80607572124646
sample_180,265.5033771508832,-139.1779139958102
sample_181,262.5011745550332,-125.11079924195633
sample_182,273.82142633478065,-141.39892158129842
sample_183,304.1674554796947,-181.66990844436893
sample_184,264.4563935649385,-131.59170390897603
sample_185,272.08457667024913,-145.41816714576996
sample_186,277.3711074071098,-143.18807347369676
sample_187,282.3025840311461,-163.32378691002353
sample_188,282.46021630241717,-167.40248363984628
sample_189,298.75622649782827,-181.41195435898362
sample_190,268.8425968385802,-144.7842878654736
sample_191,301.93112741814565,-179.150492060831
sample_192,310.4377004145705,-203.22652566609423
sample_193,264.9353169434213,-159.39710748898267
sample_194,289.28882480450636,-189.22369369437357
sample_195,295.55938965375964,-188.64832305937912
sample_196,326.01042757982043,-235.50550490921455
sample_197,287.560143169808,-185.0248463338635
sample_198,275.4361280393257,-179.3121721811647
sample_199,318.78166052376184,-221.66297089280044
