Band_Width,Sequence_Depth,Method,Metric,value
1.0,100.0,IterativeSVD,KL-Div,13.508631620811
1.0,100.0,KNN,KL-Div,13.741806981915621
1.0,100.0,OptSpace,KL-Div,128.99109347063518
1.0,100.0,SoftImpute,KL-Div,12.859311792203338
1.0,100.0,rclr-IterativeSVD,KL-Div,0.0016653663235203185
1.0,100.0,rclr-KNN,KL-Div,0.0017466097458294564
1.0,100.0,rclr-OptSpace,KL-Div,0.025782589000963793
1.0,100.0,rclr-SoftImpute,KL-Div,0.001708453280773669
1.0,1000.0,IterativeSVD,KL-Div,98.60210519726466
1.0,1000.0,KNN,KL-Div,98.45843159727029
1.0,1000.0,OptSpace,KL-Div,258.0150353992204
1.0,1000.0,SoftImpute,KL-Div,91.52619182473877
1.0,1000.0,rclr-IterativeSVD,KL-Div,0.0014415389711095218
1.0,1000.0,rclr-KNN,KL-Div,0.0018877154514837645
1.0,1000.0,rclr-OptSpace,KL-Div,0.006903402252574729
1.0,1000.0,rclr-SoftImpute,KL-Div,0.0012727855525218141
1.0,2000.0,IterativeSVD,KL-Div,192.5517401616518
1.0,2000.0,KNN,KL-Div,193.2196091312586
1.0,2000.0,OptSpace,KL-Div,242.44538525067975
1.0,2000.0,SoftImpute,KL-Div,180.46114378006104
1.0,2000.0,rclr-IterativeSVD,KL-Div,0.0012112053191579172
1.0,2000.0,rclr-KNN,KL-Div,0.0018918759491522567
1.0,2000.0,rclr-OptSpace,KL-Div,0.005703922836542946
1.0,2000.0,rclr-SoftImpute,KL-Div,0.0009922859980464715
1.0,5000.0,IterativeSVD,KL-Div,473.563938915978
1.0,5000.0,KNN,KL-Div,474.89338748985716
1.0,5000.0,OptSpace,KL-Div,496.2430152526899
1.0,5000.0,SoftImpute,KL-Div,448.2678774317978
1.0,5000.0,rclr-IterativeSVD,KL-Div,0.0008790333223298483
1.0,5000.0,rclr-KNN,KL-Div,0.0016475397388969002
1.0,5000.0,rclr-OptSpace,KL-Div,0.005040803777470044
