#SampleID	anonymized_name	collection_timestamp	contributor	country	depth	description	dna_extracted	elevation	emp_status	env_biome	env_feature	env_material	env_package	geo_loc_name	host_common_name	host_scientific_name	host_status	host_subject_id	host_taxid	lane	latitude	life_stage	longitude	name_in_metadata	notes	observations	old_title	ph	physical_specimen_location	physical_specimen_remaining	preprocessing_of_the_sponge_tissue	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	salinity_ppt	sample_type	sampling_site	scientific_name	scientific_order	study_id	taxon_id	title	water_temperature_degrees_c
10793.Webster.3.D11.235.1181352	Webster.3.D11.235.1181352	4/23/12	Webster	Australia	1.5	Carteriospongia foliascens	True	0		ocean biome	reef	organic material feature	host-associated	Australia	Carteriospongia foliascens	Carteriospongia foliascens	Healthy	Webster.3.D11.235	593584.0	EMP_Thomas_sponges_16S_L008	-18.84478	Larvae	147.64401999999995	Webster.3.D11.235	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	Missing: Not provided	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	R. odorabile Larvae Hydrocarbon Expt	sponge metagenome	Dictyoceratida	1740	1163772	SpongeMicrobiome Project	28
10793.Webster.2.A7.101.1181976	Webster.2.A7.101.1181976	7/7/10	Webster	Australia	8	Ircinia blue (spongia)	True	0		ocean biome	reef	organic material feature	host-associated	Australia	Blue Ircinia	Ircinia sp.	Healthy	Webster.2.A7.101	275431.0	EMP_Thomas_sponges_16S_L008	-9.74967	Adult	143.39925	Webster.2.A7.101	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	Missing: Not provided	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Masig Island Torres Strait	sponge metagenome	Verongiida	1740	1163772	SpongeMicrobiome Project	26.6
10793.Webster.1.D8.44.1181752	Webster.1.D8.44.1181752	9/25/12	Webster	Australia	5	Stylissa sp	True	0		ocean biome	reef	organic material feature	host-associated	Australia	Stylissa sp.	Stylissa sp.	Healthy	Webster.1.D8.44	237127.0	EMP_Thomas_sponges_16S_L008	41.72	Adult	2.94	Webster.1.D8.44			Sponge Microbiome Project	Missing: Not provided	University of Barcelona, UNC Wilmington	False	Missing: Not provided	True	Free-living	Saline	Water (saline)	10793	Missing: Not provided	seawater	Spain	marine metagenome	Not applicable	1740	408172	SpongeMicrobiome Project	12.9
10793.Webster.5.B5.393.1181780	Webster.5.B5.393.1181780	9/28/07	Webster	Australia	19	Iotrochota sp.	True	0		ocean biome	reef	organic material feature	host-associated	Australia	Iotrochota sp.	Iotrochota sp.	Healthy	Webster.5.B5.393	283496.0	EMP_Thomas_sponges_16S_L008	-18.560283	Larvae	146.484617	Webster.5.B5.393	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	Missing: Not provided	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	C.matthewsii larvae Copper Expt	sponge metagenome	Dictyoceratida	1740	1163772	SpongeMicrobiome Project	28
10793.Webster.5.D12.424.1181979	Webster.5.D12.424.1181979	7/23/12	Webster	Australia	1	Suberites diversicolour	True	0		ocean biome	reef	organic material feature	host-associated	Australia	Suberites diversicolour	Suberites diversicolor	Healthy	Webster.5.D12.424	703610.0	EMP_Thomas_sponges_16S_L008	-18.560283	Larvae	146.484617	Webster.5.D12.424	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	Missing: Not provided	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	C.matthewsii larvae Copper Expt	sponge metagenome	Dictyoceratida	1740	1163772	SpongeMicrobiome Project	28
10793.Webster.5.C6.406.1181758	Webster.5.C6.406.1181758	12/4/12	Webster	Papua New Guinea	8	Stylissa massa Bubble Site	True	0		ocean biome	reef	organic material feature	host-associated	Papua New Guinea	Stylissa massa	Stylissa massa	Healthy	Webster.5.C6.406	279589.0	EMP_Thomas_sponges_16S_L008	-18.560283	Larvae	146.484617	Webster.5.C6.406	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	Missing: Not provided	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	C.matthewsii larvae Copper Expt	sponge metagenome	Dictyoceratida	1740	1163772	SpongeMicrobiome Project	28
10793.Webster.1.D1.37.1182446	Webster.1.D1.37.1182446	9/25/12	Webster	Australia	12	R. odorabile	True	0		ocean biome	reef	organic material feature	host-associated	Australia	Rhoaploeides odorabile	Rhopaloeides odorabile	Healthy	Webster.1.D1.37	476028.0	EMP_Thomas_sponges_16S_L008	41.72	Adult	2.94	Webster.1.D1.37			Sponge Microbiome Project	Missing: Not provided	University of Barcelona, UNC Wilmington	False	Missing: Not provided	True	Free-living	Saline	Water (saline)	10793	Missing: Not provided	seawater	Spain	marine metagenome	Not applicable	1740	408172	SpongeMicrobiome Project	17.4
10793.Webster.3.B11.211.1181677	Webster.3.B11.211.1181677	4/9/12	Webster	Taiwan	10	Carteriospongia foliascens	True	0		ocean biome	reef	organic material feature	host-associated	Taiwan	Carteriospongia foliascens	Carteriospongia foliascens	Healthy	Webster.3.B11.211	593584.0	EMP_Thomas_sponges_16S_L008	-18.84478	Larvae	147.64401999999995	Webster.3.B11.211	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	Missing: Not provided	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	R. odorabile Larvae Hydrocarbon Expt	sponge metagenome	Dictyoceratida	1740	1163772	SpongeMicrobiome Project	28
10793.Webster.4.E12.342.1182063	Webster.4.E12.342.1182063	1/3/11	Webster	Australia	Missing:not provided	Coscinoderma larvae 128	True	0		ocean biome	reef	organic material feature	host-associated	Australia	Coscinoderma matthewsi	Coscinoderma sp.	Stressed	Webster.4.E12.342	1162776.0	EMP_Thomas_sponges_16S_L008	-18.5996	Adult	146.49222	Webster.4.E12.342	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	Missing: Not provided	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Orpheus Island, Little Pioneer Bay	sponge metagenome	Dictyoceratida	1740	1163772	SpongeMicrobiome Project	28.6
10793.Webster.5.E2.426.1181886	Webster.5.E2.426.1181886	7/23/12	Webster	Australia	1	Suberites diversicolour	True	0		ocean biome	reef	organic material feature	host-associated	Australia	Suberites diversicolour	Suberites diversicolor	Healthy	Webster.5.E2.426	703610.0	EMP_Thomas_sponges_16S_L008	-18.81723	Adult	147.63252	Webster.5.E2.426	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	Missing: Not provided	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Davies Reef	sponge metagenome	Dictyoceratida	1740	1163772	SpongeMicrobiome Project	28.5
