sample_name	altitude	anonymized_name	collection_date	collection_site	collection_timestamp	coreid	country	depth	description	dna_extracted	elevation	env_biome	env_feature	extracted_dna_avail_now	has_extracted_data	has_physical_specimen	health_status	host_common_name	host_order	host_subject_id	host_taxid	hypothesis	latitude	life_stage	lineage	longitude	notes	pco2_micro_atm	ph	physical_location	physical_specimen_location	physical_specimen_remaining	postitive_pcr	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	quantity_nanograms	salinity	sample_type	scientific_name	temp	title
1740.1740.Webster.2.C10.127.EMP.Thomas.sponges.16S.L008	0	Webster.2.C10.127		R. odorabile Larvae Hydrocarbon Expt	2012-01-14 00:00:00		GAZ:Australia	1.0	Rhopaloeides disp 0.4% 2h	True	0	ENVO:marine biome	ENVO:reef	True	True	True	stressed	sponges	Dictyoceratida	939	476028.0	Environment	-18.84478	Larvae		147.64401999999998	Samples came as dried down DNA samples in 96 well plates				Upright -80 Rack 4BA3	True	y	True				1740	16.18		XXQIITAXX		28	Microbial Community Assemblages found within Marine Sponges
1740.1740.Webster.2.C11.128.EMP.Thomas.sponges.16S.L008	0	Webster.2.C11.128		R. odorabile Larvae Hydrocarbon Expt	2012-01-14 00:00:00		GAZ:Australia	1.0	Rhopaloeides disp 0.8% 2h	True	0	ENVO:marine biome	ENVO:reef	True	True	True	stressed	sponges	Dictyoceratida	940	476028.0	Environment	-18.84478	Larvae		147.64401999999998	Samples came as dried down DNA samples in 96 well plates				Upright -80 Rack 4BA3	True	y	True				1740	23.28		XXQIITAXX		28	Microbial Community Assemblages found within Marine Sponges
1740.1740.Webster.2.C12.129.EMP.Thomas.sponges.16S.L008	0	Webster.2.C12.129		R. odorabile Larvae Hydrocarbon Expt	2012-01-14 00:00:00		GAZ:Australia	1.0	Rhopaloeides disp 0.8% 2h	True	0	ENVO:marine biome	ENVO:reef	True	True	True	stressed	sponges	Dictyoceratida	941	476028.0	Environment	-18.84478	Larvae		147.64401999999998	Samples came as dried down DNA samples in 96 well plates				Upright -80 Rack 4BA3	True	y	True				1740	7.36		XXQIITAXX		28	Microbial Community Assemblages found within Marine Sponges
1740.1740.Webster.2.C5.122.EMP.Thomas.sponges.16S.L008	0	Webster.2.C5.122		R. odorabile Larvae Hydrocarbon Expt	2012-01-14 00:00:00		GAZ:Australia	1.0	Rhopaloeides disp 0.4% 2h	True	0	ENVO:marine biome	ENVO:reef	True	True	True	stressed	sponges	Dictyoceratida	937	476028.0	Environment	-18.84478	Larvae		147.64401999999998	Samples came as dried down DNA samples in 96 well plates				Upright -80 Rack 4BA3	True	y	True				1740	95.71		XXQIITAXX		28	Microbial Community Assemblages found within Marine Sponges
1740.1740.Webster.2.C6.123.EMP.Thomas.sponges.16S.L008	0	Webster.2.C6.123		R. odorabile Larvae Hydrocarbon Expt	2012-01-14 00:00:00		GAZ:Australia	1.0	Rhopaloeides disp 0% 2h	True	0	ENVO:marine biome	ENVO:reef	True	True	True	stressed	sponges	Dictyoceratida	943	476028.0	Environment	-18.84478	Larvae		147.64401999999998	Samples came as dried down DNA samples in 96 well plates				Upright -80 Rack 4BA3	True	y	True				1740	5.0		XXQIITAXX		28	Microbial Community Assemblages found within Marine Sponges
1740.1740.Webster.2.C7.124.EMP.Thomas.sponges.16S.L008	0	Webster.2.C7.124		R. odorabile Larvae Hydrocarbon Expt	2012-01-14 00:00:00		GAZ:Australia	1.0	Rhopaloeides disp 0% 2h	True	0	ENVO:marine biome	ENVO:reef	True	True	True	stressed	sponges	Dictyoceratida	944	476028.0	Environment	-18.84478	Larvae		147.64401999999998	Samples came as dried down DNA samples in 96 well plates				Upright -80 Rack 4BA3	True	y	True				1740	255.57		XXQIITAXX		28	Microbial Community Assemblages found within Marine Sponges
1740.1740.Webster.2.C8.125.EMP.Thomas.sponges.16S.L008	0	Webster.2.C8.125		R. odorabile Larvae Hydrocarbon Expt	2012-01-14 00:00:00		GAZ:Australia	1.0	Rhopaloeides disp 0% 2h	True	0	ENVO:marine biome	ENVO:reef	True	True	True	stressed	sponges	Dictyoceratida	945	476028.0	Environment	-18.84478	Larvae		147.64401999999998	Samples came as dried down DNA samples in 96 well plates				Upright -80 Rack 4BA3	True	y	True				1740	77.12		XXQIITAXX		28	Microbial Community Assemblages found within Marine Sponges
1740.1740.Webster.2.C9.126.EMP.Thomas.sponges.16S.L008	0	Webster.2.C9.126		R. odorabile Larvae Hydrocarbon Expt	2012-01-14 00:00:00		GAZ:Australia	1.0	Rhopaloeides disp 0.4% 2h	True	0	ENVO:marine biome	ENVO:reef	True	True	True	stressed	sponges	Dictyoceratida	938	476028.0	Environment	-18.84478	Larvae		147.64401999999998	Samples came as dried down DNA samples in 96 well plates				Upright -80 Rack 4BA3	True	y	True				1740	62.77		XXQIITAXX		28	Microbial Community Assemblages found within Marine Sponges
1740.1740.Webster.2.D1.130.EMP.Thomas.sponges.16S.L008	0	Webster.2.D1.130		R. odorabile Larvae Hydrocarbon Expt	2012-01-14 00:00:00		GAZ:Australia	1.0	Rhopaloeides disp 0.8% 2h	True	0	ENVO:marine biome	ENVO:reef	True	True	True	stressed	sponges	Dictyoceratida	942	476028.0	Environment	-18.84478	Larvae		147.64401999999998	Samples came as dried down DNA samples in 96 well plates				Upright -80 Rack 4BA3	True	y	True				1740	5.0		XXQIITAXX		28	Microbial Community Assemblages found within Marine Sponges
1740.1740.Webster.2.D10.139.EMP.Thomas.sponges.16S.L008	0	Webster.2.D10.139		R. odorabile Larvae Hydrocarbon Expt	2012-01-14 00:00:00		GAZ:Australia	1.0	Rhopaloeides oil 1.6% 2h	True	0	ENVO:marine biome	ENVO:reef	True	True	True	stressed	sponges	Dictyoceratida	990	476028.0	Environment	-18.84478	Larvae		147.64401999999998	Samples came as dried down DNA samples in 96 well plates				Upright -80 Rack 4BA3	True	y	True				1740	120.36		XXQIITAXX		28	Microbial Community Assemblages found within Marine Sponges
1740.1740.Webster.2.D11.140.EMP.Thomas.sponges.16S.L008	0	Webster.2.D11.140		R. odorabile Larvae Hydrocarbon Expt	2012-01-14 00:00:00		GAZ:Australia	1.0	Rhopaloeides oil 25% 2h	True	0	ENVO:marine biome	ENVO:reef	True	True	True	stressed	sponges	Dictyoceratida	1000	476028.0	Environment	-18.84478	Larvae		147.64401999999998	Samples came as dried down DNA samples in 96 well plates				Upright -80 Rack 4BA3	True	y	True				1740	5.0		XXQIITAXX		28	Microbial Community Assemblages found within Marine Sponges
1740.1740.Webster.2.D12.141.EMP.Thomas.sponges.16S.L008	0	Webster.2.D12.141		R. odorabile Larvae Hydrocarbon Expt	2012-01-14 00:00:00		GAZ:Australia	1.0	Rhopaloeides oil 25% 2h	True	0	ENVO:marine biome	ENVO:reef	True	True	True	stressed	sponges	Dictyoceratida	1001	476028.0	Environment	-18.84478	Larvae		147.64401999999998	Samples came as dried down DNA samples in 96 well plates				Upright -80 Rack 4BA3	True	y	True				1740	5.0		XXQIITAXX		28	Microbial Community Assemblages found within Marine Sponges
1740.1740.Webster.2.D2.131.EMP.Thomas.sponges.16S.L008	0	Webster.2.D2.131		R. odorabile Larvae Hydrocarbon Expt	2012-01-14 00:00:00		GAZ:Australia	1.0	Rhopaloeides disp 1.6% 2h	True	0	ENVO:marine biome	ENVO:reef	True	True	True	stressed	sponges	Dictyoceratida	946	476028.0	Environment	-18.84478	Larvae		147.64401999999998	Samples came as dried down DNA samples in 96 well plates				Upright -80 Rack 4BA3	True	y	True				1740	1.37		XXQIITAXX		28	Microbial Community Assemblages found within Marine Sponges
