	Collection Timestamp	Country	Depth	Environment 	Host Name	Host ID	Latitude	Longitude	Processing Lab 	pH	Life Stage	Temp 	Salinity
1740.Webster.2.C9.126.EMP.Thomas.sponges.16S.L008	2012-01-14 00:00:00	GAZ:Australia	1.0	ENVO:reef	sponges	938	-18.84478	147.64401999999998	Upright -80 Rack 4BA3	Unknown	Larvae	28	Unknown
1740.Webster.2.C11.128.EMP.Thomas.sponges.16S.L008	2012-01-14 00:00:00	GAZ:Australia	1.0	ENVO:reef	sponges	940	-18.84478	147.64401999999998	Upright -80 Rack 4BA3	Unknown	Larvae	28	Unknown
1740.Webster.4.D1.319.EMP.Thomas.sponges.16S.L008	2012-12-16 00:00:00	GAZ:Australia	Unknown	ENVO:reef	sponges	924	-18.68543	146.51218	ZZ	Unknown	Larvae	28	Unknown
1740.Webster.4.E11.341.EMP.Thomas.sponges.16S.L008	2011-01-02 00:00:00	GAZ:Madagascar	Unknown	ENVO:reef	sponges	804	-18.59297	46.48359	Upright -80 Rack 3C15	Unknown	Larvae	28	Unknown
1740.Webster.4.C8.314.EMP.Thomas.sponges.16S.L008	2012-12-16 00:00:00	GAZ:Australia	Unknown	ENVO:reef	sponges	898	-18.68543	146.51218	ZZ	Unknown	Larvae	28	Unknown
1740.Webster.4.F5.347.EMP.Thomas.sponges.16S.L008	2013-01-15 00:00:00	GAZ:Australia	12.0	ENVO:reef	sponges	949	-18.81723	147.63252	Taken in Jan 13 after DR fieldtrip	Unknown	Adult	28.5	Unknown
1740.Webster.3.E8.244.EMP.Thomas.sponges.16S.L008	2012-04-23 00:00:00	GAZ:Australia	1.5	ENVO:reef	sponges	725	-18.68543	146.51218	ZZ	Unknown	Adult	28.4	Unknown
1740.Webster.2.G3.168.EMP.Thomas.sponges.16S.L008	2012-01-14 00:00:00	GAZ:Australia	1.0	ENVO:reef	sponges	977	-18.84478	147.64401999999998	Upright -80 Rack 4BA3	Unknown	Larvae	28	Unknown
1740.Webster.4.F3.345.EMP.Thomas.sponges.16S.L008	2011-01-06 00:00:00	GAZ:Madagascar	Unknown	ENVO:reef	sponges	799	-18.59297	46.48359	Upright -80 Rack 3C17	Unknown	Larvae	28	Unknown
1740.Webster.3.H5.277.EMP.Thomas.sponges.16S.L008	2011-10-19 00:00:00	GAZ:Australia	16.0	ENVO:reef	sponges	758	-15.3363	123.5129	ZZ	Unknown	Adult	Unknown	Unknown
