#SampleID	pH	Annual Season Precipitation	Annual Season Tempature	Carbon to Nitrogen Ratio	Cmin Rate	Elevation	Latitude	Longitude	Slit Clay	Soil Moisture Deficit	Total Organic Carbon
103.BZ1	5.12	260	-2.9	19.4	4.185	300	64.8	-148.25	80	132.6	30.3
103.CR1	8	850	18.4	10.7	3.078	250	33.93333333	-97.23333333	64	160.1	28.3
103.GB2	7.57	400	2	13.1	5.375	3290	39.31666667	-111.4666667	65	-112.3	68.9
103.GB3	7.18	400	2	14.3	6.244	3270	39.31666667	-111.4833333	76	-112.3	57.1
103.GB1	6.84	400	2	12.2	6.098	3750	39.33333333	-111.45	77	-112.3	28.2
103.GB5	8.22	400	4.8	11.8	6.339	2160	39.35	-111.5833333	70	-47.4	16.8
103.CM1	7.85	850	18.5	12.4	2.043	200	33.3	-96.23333333	82	155.2	29.9
103.HJ1	5.41	2000	9.4	36.6	5.079	700	44.21666667	-122.15	41	-1507	69.5
103.HJ2	5.36	2000	9.4	26.1	4.532	700	44.21666667	-122.15	47	-1507	76.1
103.AR1	5.8	1400	23	8.98	4.3	150	-27.73333333	-55.68333333	80	-206	22.1
103.AR2	6	1400	23	9.36	3.9	150	-27.73333333	-55.68333333	78	-206	21.7
103.AR3	5.9	1400	23	9.844	4.5	150	-27.73333333	-55.68333333	82	-206	24.4
103.SF2	8.38	250	13	8.14	4	1500	35.38333333	-105.9333333	58	494	4.2
103.SF1	7.71	250	13	9.92	7.6	1500	35.38333333	-105.9333333	60	494	14.2
103.SN3	5.74	600	3.6	13.9	6.289	3000	36.45	-118.1666667	20	-251.6	16.6
103.SN1	4.95	600	3.6	22	12.996	3000	36.45	-118.1666667	20	-251.6	42.5
103.KP4	7.1	835	12.5	13.892	16	100	39.1	-96.6	77	-80.5	39.8
103.TL3	4.23	400	-9.3	24.6	16.456	894	68.63333333	-149.5833333	52	-211.8	53.9
103.TL2	6.47	400	-9.3	16.6	12.092	894	68.63333333	-149.5833333	61	-211.8	158.3
103.TL1	4.58	400	-9.3	18.7	9.241	894	68.63333333	-149.5833333	57	-211.8	70.2
103.KP3	7.92	835	12.5	17.7	1.948	100	39.1	-96.6	76	-80.5	68.9
103.MT2	6.66	450	7	23.087	19.7	1000	46.8	-114	35	70	39.1
103.MT1	7.57	450	7	16.007	26.9	1000	46.8	-114	30	70	105.4
103.VC1	5.55	500	2.5	17	15.209	2746	35.9	-106.55	41	-174.5	56.7
103.VC2	5.99	500	2.5	11.5	6.265	2733	35.9	-106.55	59	-174.5	34.4
103.CL1	5.68	1250	15.9	19.6	4.642	150	34.61666667	-81.66666667	35	-420.1	23.3
103.CL2	5.57	1250	15.9	12.8	4.07	150	34.61666667	-81.66666667	25	-420.1	22.7
103.CL3	4.89	1250	15.9	24.3	4.145	150	34.61666667	-81.66666667	19	-420.1	12.1
103.CL4	5.03	1250	15.9	13.7	2.234	150	34.61666667	-81.66666667	36	-420.1	17.1
103.SP1	6.25	650	12.7	18.5	7.709	650	36.5	-118.7	36	16.6	16.8
103.SP2	5.13	750	3.6	15.9	6.535	3215	36.61666667	-118.6333333	24	-401.6	81
103.MD4	8.86	150	21	5.6	0.184	776	35.2	-115.8666667	47	1086.7	1.2
103.MD5	8.07	150	21	9.5	5.931	776	35.2	-115.8666667	20	1086.7	5.7
103.MD2	7.65	150	21	8.8	1.97	967	34.9	-115.6	26	1053.8	4.2
103.SA2	8.1	400	10.3	17	6.317	1905	35.36666667	-111.55	8	198.1	25
103.SA1	6.9	400	10.3	18.2	3.821	1905	35.36666667	-111.55	9	198.1	22.9
103.SK1	5.45	467	0.4	31.6767	5.8	579	53.9	-104.7	21	-13	11.6
103.SK3	5.83	467	0.4	14.135	3.7	601	53.6	-106.2	55	-13	8.5
103.SK2	6.18	467	0.4	24.345	6.5	601	53.98333333	-105.2	35	-13	24.9
103.CO1	6.13	600	-3	19.1	4.477	3800	40.4	-105.7	14	-308.8	15.9
103.CO3	6.02	322	9.3	11.7	2.443	1500	40.8	-104.8333333	24	230.6	8.2
103.CO2	5.68	350	6.1	31.8	9.223	2400	40.58333333	-105.3333333	24	104	18.1
103.PE1	4.12	2100	10	13.887	32.2	3250	-13.08333333	-71.58333333	35	-2500	134.2
103.PE2	4.11	2500	12	15.36	14.4	3250	-13.08333333	-71.58333333	34	-2940	57.4
103.PE3	4.25	5500	16	16.84	31.8	2750	-13.08333333	-71.58333333	40	-3270	130.9
103.PE4	4.1	6200	17	18.45	15.5	2000	-13.08333333	-71.58333333	32	-3700	59.5
103.PE5	3.57	5000	23	14.55	25	1750	-12.63333333	-71.26666667	70	-1900	93.6
103.PE6	4.12	4000	25	10.12	13.4	860	-12.65	-71.23333333	65	-1600	33.4
103.PE7	5.51	4000	25	11.21	16.7	440	-12.65	-71.23333333	88	-1600	63.8
103.BP1	7.53	450	6.6	14.5	7.736	1100	43.75	-102.3833333	65	79.2	31
103.DF1	5.37	1100	14.6	37.7	13.201	163	35.96666667	-79.08333333	43	-328	27.8
103.DF3	5.05	1100	14.6	25.8	4.149	150	35.96666667	-79.08333333	20	-328	17
103.DF2	6.84	1100	14.6	18.3	20.411	163	35.96666667	-79.08333333	53	-328	54.5
103.SR2	8	500	17.2	11.1	2.461	300	34.68333333	-120.0333333	48	323.8	14.6
103.BF2	3.61	1000	7.8	15.2	8.718	390	41.58333333	-80.05	56	-451.3	95.2
103.BF1	4.05	1000	7.8	13.7	7.019	390	41.58333333	-80.05	60	-451.3	64.4
103.SR1	6.84	500	17.2	11.1	6.119	300	34.7	-120.05	55	323.8	45.9
103.MD3	7.9	150	21	6.8	0.927	776	34.9	-115.65	19	1053.8	1.2
103.SR3	6.95	500	17.2	11	7.154	300	34.68333333	-120.05	61	323.8	33
103.HF1	4.25	1100	7	22.5	14.412	300	42.5	-72.16666667	33	-483.9	127.6
103.CA2	8.02	400	10.3	13.6	1.63	2003	36.05	-111.7666667	74	198.1	21.5
103.CA1	7.27	400	10.3	13	2.276	2003	36.05	-111.7666667	73	198.1	16.7
103.HF2	3.98	1100	7	20.9	10.001	300	42.5	-72.16666667	38	-483.9	95.5
103.SB1	7.92	550	15	16.9	7.166	500	34.46666667	-119.8	54	152.8	26.5
103.CF2	3.63	1300	5.3	19.1	3	800	41.93333333	-74.35	28	-858.7	40.6
103.CF3	3.56	1300	5.3	17	2.912	800	42.11666667	-74.1	77	-858.7	43.3
103.CF1	3.92	1300	5.3	13.6	2.266	800	42.15833333	-74.25833333	49	-858.7	25.6
103.JT1	7.6	90	16	11.668	11.7	1360	33.96666667	-116.0666667	18	1032	6.9
