sample_name	altitude	annual_season_precpt	annual_season_temp	anonymized_name	carb_nitro_ratio	collection_date	country	depth	description	dna_extracted	elevation	env_biome	env_feature	host_subject_id	latitude	longitude	ph	physical_specimen_remaining	project_name	public	sample_type	title	tot_nitro	tot_org_carb
94.PH1	0	727	9.1	PH1	8.64957265	4/1/08	GAZ:Great Britain	0-0.05	Hoosfield Acid Strip, Rothamsted, UK	true	118	ENVO:soil	ENVO:soil	PH1	-0.35	51.816	8	false	rousk_ph_gradient	true	XXQIITAXX	PH1	0.117	1.012
94.PH10	0	727	9.1	PH10	8.976	4/1/08	GAZ:Great Britain	0-0.05	Hoosfield Acid Strip, Rothamsted, UK	true	118	ENVO:soil	ENVO:soil	PH10	-0.35	51.816	6.68	false	rousk_ph_gradient	true	XXQIITAXX	PH10	0.1	0.8976
94.PH11	0	727	9.1	PH11	8.959119497	4/1/08	GAZ:Great Britain	0-0.05	Hoosfield Acid Strip, Rothamsted, UK	true	118	ENVO:soil	ENVO:soil	PH11	-0.35	51.816	6.14	false	rousk_ph_gradient	true	XXQIITAXX	PH11	0.0954	0.8547
94.PH12	0	727	9.1	PH12	8.855087359	4/1/08	GAZ:Great Britain	0-0.05	Hoosfield Acid Strip, Rothamsted, UK	true	118	ENVO:soil	ENVO:soil	PH12	-0.35	51.816	5.61	false	rousk_ph_gradient	true	XXQIITAXX	PH12	0.0973	0.8616
94.PH13	0	727	9.1	PH13	8.788235294	4/1/08	GAZ:Great Britain	0-0.05	Hoosfield Acid Strip, Rothamsted, UK	true	118	ENVO:soil	ENVO:soil	PH13	-0.35	51.816	5.46	false	rousk_ph_gradient	true	XXQIITAXX	PH13	0.102	0.8964
94.PH14	0	727	9.1	PH14	8.710679612	4/1/08	GAZ:Great Britain	0-0.05	Hoosfield Acid Strip, Rothamsted, UK	true	118	ENVO:soil	ENVO:soil	PH14	-0.35	51.816	5.2	false	rousk_ph_gradient	true	XXQIITAXX	PH14	0.103	0.8972
94.PH15	0	727	9.1	PH15	8.789150461	4/1/08	GAZ:Great Britain	0-0.05	Hoosfield Acid Strip, Rothamsted, UK	true	118	ENVO:soil	ENVO:soil	PH15	-0.35	51.816	5.12	false	rousk_ph_gradient	true	XXQIITAXX	PH15	0.0977	0.8587
94.PH16	0	727	9.1	PH16	8.610271903	4/1/08	GAZ:Great Britain	0-0.05	Hoosfield Acid Strip, Rothamsted, UK	true	118	ENVO:soil	ENVO:soil	PH16	-0.35	51.816	4.73	false	rousk_ph_gradient	true	XXQIITAXX	PH16	0.0993	0.855
94.PH17	0	727	9.1	PH17	8.49744898	4/1/08	GAZ:Great Britain	0-0.05	Hoosfield Acid Strip, Rothamsted, UK	true	118	ENVO:soil	ENVO:soil	PH17	-0.35	51.816	4.43	false	rousk_ph_gradient	true	XXQIITAXX	PH17	0.098	0.83275
94.PH18	0	727	9.1	PH18	8.641657335	4/1/08	GAZ:Great Britain	0-0.05	Hoosfield Acid Strip, Rothamsted, UK	true	118	ENVO:soil	ENVO:soil	PH18	-0.35	51.816	4.39	false	rousk_ph_gradient	true	XXQIITAXX	PH18	0.0893	0.7717
94.PH19	0	727	9.1	PH19	8.599773243	4/1/08	GAZ:Great Britain	0-0.05	Hoosfield Acid Strip, Rothamsted, UK	true	118	ENVO:soil	ENVO:soil	PH19	-0.35	51.816	4.25	false	rousk_ph_gradient	true	XXQIITAXX	PH19	0.0882	0.7585
94.PH2	0	727	9.1	PH2	8.781553398	4/1/08	GAZ:Great Britain	0-0.05	Hoosfield Acid Strip, Rothamsted, UK	true	118	ENVO:soil	ENVO:soil	PH2	-0.35	51.816	8.33	false	rousk_ph_gradient	true	XXQIITAXX	PH2	0.103	0.9045
94.PH20	0	727	9.1	PH20	8.785630153	4/1/08	GAZ:Great Britain	0-0.05	Hoosfield Acid Strip, Rothamsted, UK	true	118	ENVO:soil	ENVO:soil	PH20	-0.35	51.816	4.09	false	rousk_ph_gradient	true	XXQIITAXX	PH20	0.0849	0.7459
94.PH21	0	727	9.1	PH21	8.659327926	4/1/08	GAZ:Great Britain	0-0.05	Hoosfield Acid Strip, Rothamsted, UK	true	118	ENVO:soil	ENVO:soil	PH21	-0.35	51.816	4.07	false	rousk_ph_gradient	true	XXQIITAXX	PH21	0.0863	0.7473
94.PH22	0	727	9.1	PH22	8.991421569	4/1/08	GAZ:Great Britain	0-0.05	Hoosfield Acid Strip, Rothamsted, UK	true	118	ENVO:soil	ENVO:soil	PH22	-0.35	51.816	4.1	false	rousk_ph_gradient	true	XXQIITAXX	PH22	0.0816	0.7337
94.PH23	0	727	9.1	PH23	8.714453584	4/1/08	GAZ:Great Britain	0-0.05	Hoosfield Acid Strip, Rothamsted, UK	true	118	ENVO:soil	ENVO:soil	PH23	-0.35	51.816	4.08	false	rousk_ph_gradient	true	XXQIITAXX	PH23	0.0851	0.7416
94.PH24	0	727	9.1	PH24	8.473386183	4/1/08	GAZ:Great Britain	0-0.05	Hoosfield Acid Strip, Rothamsted, UK	true	118	ENVO:soil	ENVO:soil	PH24	-0.35	51.816	4.05	false	rousk_ph_gradient	true	XXQIITAXX	PH24	0.0883	0.7482
94.PH25	0	727	9.1	PH25	8.720504009	4/1/08	GAZ:Great Britain	0-0.05	Hoosfield Acid Strip, Rothamsted, UK	true	118	ENVO:soil	ENVO:soil	PH25	-0.35	51.816	4.06	false	rousk_ph_gradient	true	XXQIITAXX	PH25	0.0873	0.7613
94.PH26	0	727	9.1	PH26	8.500551268	4/1/08	GAZ:Great Britain	0-0.05	Hoosfield Acid Strip, Rothamsted, UK	true	118	ENVO:soil	ENVO:soil	PH26	-0.35	51.816	4.04	false	rousk_ph_gradient	true	XXQIITAXX	PH26	0.0907	0.771
94.PH27	0	727	9.1	PH27	8.741584671	4/1/08	GAZ:Great Britain	0-0.05	Hoosfield Acid Strip, Rothamsted, UK	true	118	ENVO:soil	ENVO:soil	PH27	-0.35	51.816	4.1	false	rousk_ph_gradient	true	XXQIITAXX	PH27	0.09655	0.844
94.PH3	0	727	9.1	PH3	8.687128713	4/1/08	GAZ:Great Britain	0-0.05	Hoosfield Acid Strip, Rothamsted, UK	true	118	ENVO:soil	ENVO:soil	PH3	-0.35	51.816	8.2	false	rousk_ph_gradient	true	XXQIITAXX	PH3	0.101	0.8774
94.PH4	0	727	9.1	PH4	8.351886792	4/1/08	GAZ:Great Britain	0-0.05	Hoosfield Acid Strip, Rothamsted, UK	true	118	ENVO:soil	ENVO:soil	PH4	-0.35	51.816	7.97	false	rousk_ph_gradient	true	XXQIITAXX	PH4	0.106	0.8853
94.PH5	0	727	9.1	PH5	8.504901961	4/1/08	GAZ:Great Britain	0-0.05	Hoosfield Acid Strip, Rothamsted, UK	true	118	ENVO:soil	ENVO:soil	PH5	-0.35	51.816	8.02	false	rousk_ph_gradient	true	XXQIITAXX	PH5	0.102	0.8675
94.PH6	0	727	9.1	PH6	8.632380952	4/1/08	GAZ:Great Britain	0-0.05	Hoosfield Acid Strip, Rothamsted, UK	true	118	ENVO:soil	ENVO:soil	PH6	-0.35	51.816	7.95	false	rousk_ph_gradient	true	XXQIITAXX	PH6	0.105	0.9064
94.PH7	0	727	9.1	PH7	8.721596244	4/1/08	GAZ:Great Britain	0-0.05	Hoosfield Acid Strip, Rothamsted, UK	true	118	ENVO:soil	ENVO:soil	PH7	-0.35	51.816	7.85	false	rousk_ph_gradient	true	XXQIITAXX	PH7	0.1065	0.92885
