#SampleID	anonymized_name	collection_timestamp	contributor	country	depth	description	dna_extracted	elevation	emp_status	env_biome	env_feature	env_material	env_package	geo_loc_name	host_common_name	host_scientific_name	host_status	host_subject_id	host_taxid	lane	latitude	life_stage	longitude	name_in_metadata	notes	observations	old_title	ph	physical_specimen_location	physical_specimen_remaining	preprocessing_of_the_sponge_tissue	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	salinity_ppt	sample_type	sampling_site	scientific_name	scientific_order	study_id	taxon_id	title	water_temperature_degrees_c
10793.10533.219	10533.219	3/23/14	Hill	USA	8	sea water	True	0	EMP	ocean biome	ocean water	ocean water	water	USA	sea water	marine metagenome		219	408172.0	8	-41.332878	Adult	174.831532	219	7.7		Bacterial community aNot applicablelyses on Wellington sponge communities	Missing: Not provided	Mike Taylor Lab	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Breaker Bay	sponge metagenome	Clathrinida	10533	1163772	SpongeMicrobiome Project	11.6
10793.10533.220	10533.220	3/23/14	Hill	USA	8	sea water	True	0	EMP	ocean biome	ocean water	ocean water	water	USA	sea water	marine metagenome		220	408172.0	8	-41.332878	Adult	174.831532	220	7.9		Bacterial community aNot applicablelyses on Wellington sponge communities	Missing: Not provided	Mike Taylor Lab	False	Missing: Not provided	True				10793	Missing: Not provided	sponge tissue	Breaker Bay	sponge metagenome	Clathrinida	10533	1163772	SpongeMicrobiome Project	11.6
10793.10533.221	10533.221	3/23/14	Hill	USA	8	sea water	True	0	EMP	ocean biome	ocean water	ocean water	water	USA	sea water	marine metagenome		221	408172.0	8	-41.332878	Adult	174.831532	221	8.1		Bacterial community aNot applicablelyses on Wellington sponge communities	Missing: Not provided	Mike Taylor Lab	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Breaker Bay	sponge metagenome	Clathrinida	10533	1163772	SpongeMicrobiome Project	11.6
10793.10533.222	10533.222	3/23/14	Hill	USA	8	sea water	True	0	EMP	ocean biome	ocean water	ocean water	water	USA	sea water	marine metagenome		222	408172.0	8	-41.332878	Adult	174.831532	222	8.11		Bacterial community aNot applicablelyses on Wellington sponge communities	Missing: Not provided	Mike Taylor Lab	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Breaker Bay	sponge metagenome	Clathrinida	10533	1163772	SpongeMicrobiome Project	11.6
10793.10533.223	10533.223	3/23/14	Hill	USA	8	sea water	True	0	EMP	ocean biome	ocean water	ocean water	water	USA	sea water	marine metagenome		223	408172.0	8	-41.332878	Adult	174.831532	223	8.3		Bacterial community aNot applicablelyses on Wellington sponge communities	Missing: Not provided	Mike Taylor Lab	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Breaker Bay	sponge metagenome	Clathrinida	10533	1163772	SpongeMicrobiome Project	11.6
10793.10533.224	10533.224	3/23/14	Hill	USA	8	sea water	True	0	EMP	ocean biome	ocean water	ocean water	water	USA	sea water	marine metagenome		224	408172.0	8	-41.332878	Adult	174.831532	224	8.5		Bacterial community aNot applicablelyses on Wellington sponge communities	Missing: Not provided	Mike Taylor Lab	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Breaker Bay	sponge metagenome	Clathrinida	10533	1163772	SpongeMicrobiome Project	11.6
10793.10533.225	10533.225	3/23/14	Hill	USA	8	sea water	True	0	EMP	ocean biome	ocean water	ocean water	water	USA	sea water	marine metagenome		225	408172.0	8	-41.332878	Adult	174.831532	225	8.7		Bacterial community aNot applicablelyses on Wellington sponge communities	Missing: Not provided	Mike Taylor Lab	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Breaker Bay	sponge metagenome	Clathrinida	10533	1163772	SpongeMicrobiome Project	11.6
10793.10533.226	10533.226	3/23/14	Hill	USA	8	sea water	True	0	EMP	ocean biome	ocean water	ocean water	water	USA	sea water	marine metagenome		226	408172.0	8	-41.332878	Adult	174.831532	226	8.9		Bacterial community aNot applicablelyses on Wellington sponge communities	Missing: Not provided	Mike Taylor Lab	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Breaker Bay	sponge metagenome	Clathrinida	10533	1163772	SpongeMicrobiome Project	11.6
10793.10533.227	10533.227	3/23/14	Hill	USA	8	sea water	True	0	EMP	ocean biome	ocean water	ocean water	water	USA	sea water	marine metagenome		227	408172.0	8	-41.332878	Adult	174.831532	227	9.1		Bacterial community aNot applicablelyses on Wellington sponge communities	Missing: Not provided	Mike Taylor Lab	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Breaker Bay	sponge metagenome	Poecilosclerida	10533	1163772	SpongeMicrobiome Project	11.6
10793.10533.228	10533.228	3/23/14	Hill	USA	8	sea water	True	0	EMP	ocean biome	ocean water	ocean water	water	USA	sea water	marine metagenome		228	408172.0	8	-41.332878	Adult	174.831532	228	9.11		Bacterial community aNot applicablelyses on Wellington sponge communities	Missing: Not provided	Mike Taylor Lab	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Breaker Bay	sponge metagenome	Poecilosclerida	10533	1163772	SpongeMicrobiome Project	11.6
10793.10533.229	10533.229	3/23/14	Hill	USA	8	sea water	True	0	EMP	ocean biome	ocean water	ocean water	water	USA	sea water	marine metagenome		229	408172.0	8	-41.332878	Adult	174.831532	229	9.3		Bacterial community aNot applicablelyses on Wellington sponge communities	Missing: Not provided	Mike Taylor Lab	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Breaker Bay	sponge metagenome	Poecilosclerida	10533	1163772	SpongeMicrobiome Project	11.6
10793.10533.230	10533.230	3/23/14	Hill	USA	8	sea water	True	0	EMP	ocean biome	ocean water	ocean water	water	USA	sea water	marine metagenome		230	408172.0	8	-41.332878	Adult	174.831532	230	9.5		Bacterial community aNot applicablelyses on Wellington sponge communities	Missing: Not provided	Mike Taylor Lab	False	Missing: Not provided	True				10793	Missing: Not provided	sponge tissue	Breaker Bay	sponge metagenome	Poecilosclerida	10533	1163772	SpongeMicrobiome Project	11.6
10793.10533.231	10533.231	3/23/14	Hill	USA	8	sea water	True	0	EMP	ocean biome	ocean water	ocean water	water	USA	sea water	marine metagenome		231	408172.0	8	-41.332878	Adult	174.831532	231	9.7		Bacterial community aNot applicablelyses on Wellington sponge communities	Missing: Not provided	Mike Taylor Lab	False	Missing: Not provided	True				10793	Missing: Not provided	sponge tissue	Breaker Bay	sponge metagenome	Poecilosclerida	10533	1163772	SpongeMicrobiome Project	11.6
10793.10533.232	10533.232	3/23/14	Hill	USA	8	sea water	True	0	EMP	ocean biome	ocean water	ocean water	water	USA	sea water	marine metagenome		232	408172.0	8	-41.332878	Adult	174.831532	232	9.9		Bacterial community aNot applicablelyses on Wellington sponge communities	Missing: Not provided	Mike Taylor Lab	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Breaker Bay	sponge metagenome	Poecilosclerida	10533	1163772	SpongeMicrobiome Project	11.6
10793.10533.233	10533.233	3/23/14	Hill	USA	8	sea water	True	0	EMP	ocean biome	ocean water	ocean water	water	USA	sea water	marine metagenome		233	408172.0	8	-41.332878	Adult	174.831532	233	A		Bacterial community aNot applicablelyses on Wellington sponge communities	Missing: Not provided	Mike Taylor Lab	False	Missing: Not provided	True				10793	Missing: Not provided	sponge tissue	Breaker Bay	sponge metagenome	Not applicable	10533	1163772	SpongeMicrobiome Project	Missing: Not provided
10793.10533.234	10533.234	3/23/14	Hill	USA	8	sea water	True	0	EMP	ocean biome	ocean water	ocean water	water	USA	sea water	marine metagenome		234	408172.0	8	-41.332878	Adult	174.831532	234	B		Bacterial community aNot applicablelyses on Wellington sponge communities	Missing: Not provided	Mike Taylor Lab	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Breaker Bay	sponge metagenome	Not applicable	10533	1163772	SpongeMicrobiome Project	Missing: Not provided
10793.10533.235	10533.235	3/23/14	Hill	USA	8	sea water	True	0	EMP	ocean biome	ocean water	ocean water	water	USA	sea water	marine metagenome		235	408172.0	8	-41.332878	Adult	174.831532	235	C		Bacterial community aNot applicablelyses on Wellington sponge communities	Missing: Not provided	Mike Taylor Lab	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Breaker Bay	sponge metagenome	Not applicable	10533	1163772	SpongeMicrobiome Project	Missing: Not provided
10793.10533.236	10533.236	3/23/14	Hill	USA	8	sea water	True	0	EMP	ocean biome	ocean water	ocean water	water	USA	sea water	marine metagenome		236	408172.0	8	-41.332878	Adult	174.831532	236	D		Bacterial community aNot applicablelyses on Wellington sponge communities	Missing: Not provided	Mike Taylor Lab	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Breaker Bay	sponge metagenome	Not applicable	10533	1163772	SpongeMicrobiome Project	Missing: Not provided
10793.10533.237	10533.237	3/23/14	Hill	USA	8	sea water	True	0	EMP	ocean biome	ocean water	ocean water	water	USA	sea water	marine metagenome		237	408172.0	8	-41.332878	Adult	174.831532	237	E		Bacterial community aNot applicablelyses on Wellington sponge communities	Missing: Not provided	Mike Taylor Lab	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Breaker Bay	sponge metagenome	Not applicable	10533	1163772	SpongeMicrobiome Project	Missing: Not provided
10793.10533.238	10533.238	3/23/14	Hill	USA	8	sea water	True	0	EMP	ocean biome	ocean water	ocean water	water	USA	sea water	marine metagenome		238	408172.0	8	-41.332878	Adult	174.831532	238	F		Bacterial community aNot applicablelyses on Wellington sponge communities	Missing: Not provided	Mike Taylor Lab	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Breaker Bay	sponge metagenome	Not applicable	10533	1163772	SpongeMicrobiome Project	Missing: Not provided
10793.10533.239	10533.239	3/23/14	Hill	USA	8	sea water	True	0	EMP	ocean biome	ocean water	ocean water	water	USA	sea water	marine metagenome		239	408172.0	8	-41.332878	Adult	174.831532	239	G		Bacterial community aNot applicablelyses on Wellington sponge communities	Missing: Not provided	Mike Taylor Lab	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Breaker Bay	sponge metagenome	Not applicable	10533	1163772	SpongeMicrobiome Project	Missing: Not provided
10793.10533.240	10533.240	3/23/14	Hill	USA	8	sea water	True	0	EMP	ocean biome	ocean water	ocean water	water	USA	sea water	marine metagenome		240	408172.0	8	-41.332878	Adult	174.831532	240	H		Bacterial community aNot applicablelyses on Wellington sponge communities	Missing: Not provided	Mike Taylor Lab	False	Missing: Not provided	True				10793	Missing: Not provided	sponge tissue	Breaker Bay	sponge metagenome	Not applicable	10533	1163772	SpongeMicrobiome Project	Missing: Not provided
10793.10533.245	10533.245	3/23/14	Hill	USA	8	sea water	True	0	EMP	ocean biome	ocean water	ocean water	water	USA	sea water	marine metagenome		245	408172.0	8	51.732	Adult	-5.274	245			Not applicable	Missing: Not provided	Institute of Marine Sciences (ICM-CSIC)	False	Missing: Not provided	True				10793	Missing: Not provided	sponge tissue	Skomer islands	sponge metagenome	Tethyida	10533	1163772	SpongeMicrobiome Project	Missing: Not provided
10793.10533.246	10533.246	3/23/14	Hill	USA	8	sea water	True	0	EMP	ocean biome	ocean water	ocean water	water	USA	sea water	marine metagenome		246	408172.0	8	51.732	Adult	-5.274	246			Not applicable	Missing: Not provided	Institute of Marine Sciences (ICM-CSIC)	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Skomer islands	sponge metagenome	Tethyida	10533	1163772	SpongeMicrobiome Project	Missing: Not provided
10793.10533.247	10533.247	3/23/14	Hill	USA	8	sea water	True	0	EMP	ocean biome	ocean water	ocean water	water	USA	sea water	marine metagenome		247	408172.0	8	51.732	Adult	-5.274	247			Not applicable	Missing: Not provided	Institute of Marine Sciences (ICM-CSIC)	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Skomer islands	sponge metagenome	Tethyida	10533	1163772	SpongeMicrobiome Project	Missing: Not provided
10793.10533.248	10533.248	3/23/14	Hill	USA	8	sea water	True	0	EMP	ocean biome	ocean water	ocean water	water	USA	sea water	marine metagenome		248	408172.0	8	51.732	Adult	-5.274	248			Not applicable	Missing: Not provided	Institute of Marine Sciences (ICM-CSIC)	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Skomer islands	sponge metagenome	Chondrillida	10533	1163772	SpongeMicrobiome Project	Missing: Not provided
10793.10533.249	10533.249	3/23/14	Hill	USA	8	sea water	True	0	EMP	ocean biome	ocean water	ocean water	water	USA	sea water	marine metagenome		249	408172.0	8	51.732	Adult	-5.274	249			Not applicable	Missing: Not provided	Institute of Marine Sciences (ICM-CSIC)	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Skomer islands	sponge metagenome	Chondrillida	10533	1163772	SpongeMicrobiome Project	Missing: Not provided
10793.10533.250	10533.250	3/23/14	Hill	USA	8	sea water	True	0	EMP	ocean biome	ocean water	ocean water	water	USA	sea water	marine metagenome		250	408172.0	8	51.732	Adult	-5.274	250			Not applicable	Missing: Not provided		False	Missing: Not provided	True				10793	Missing: Not provided	sponge tissue	Skomer islands	sponge metagenome	Chondrillida	10533	1163772	SpongeMicrobiome Project	Missing: Not provided
10793.10533.303	10533.303	3/23/14	Thacker	USA	8	sponge tissue from ML6.1	True	0	EMP	marine benthic biome	animal-associated habitat	organic material feature	host-associated	USA	sponges	Mycale grandis		ML7.1g	564368.0	MiSeq	-9.82425	Adult	150.81788	ML7.1g	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	7.87	Nicole Webster	False	Missing: Not provided	True				10793	Missing: Not provided	sponge tissue	Papua New Guinea Upa-UpasiMissing:not provided CO2 Seep	sponge metagenome	Tetractinellida	1740	1163772	SpongeMicrobiome Project	30.4
10793.10533.304	10533.304	3/23/14	Thacker	USA	8	sponge tissue from ML7.1	True	0	EMP	marine benthic biome	animal-associated habitat	organic material feature	host-associated	USA	sponges	Mycale grandis		ML7.1c	564368.0	MiSeq	-9.82805	Adult	150.82028	ML7.1c	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	8.06	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Papua New Guinea Upa-UpasiMissing:not provided Control Site	sponge metagenome	Poecilosclerida	1740	1163772	SpongeMicrobiome Project	30.4
10793.10533.305	10533.305	3/23/14	Thacker	USA	8	sponge tissue from ML7.1	True	0	EMP	marine benthic biome	animal-associated habitat	organic material feature	host-associated	USA	sponges	Mycale grandis		ML8.1g	564368.0	MiSeq	-9.82805	Adult	150.82028	ML8.1g	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	8.06	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Papua New Guinea Upa-UpasiMissing:not provided Control Site	sponge metagenome	Poecilosclerida	1740	1163772	SpongeMicrobiome Project	30.4
10793.10533.306	10533.306	3/23/14	Thacker	USA	8	sponge tissue from ML8.1	True	0	EMP	marine benthic biome	animal-associated habitat	organic material feature	host-associated	USA	sponges	Mycale grandis		ML8.1c	564368.0	MiSeq	-9.82425	Adult	150.81788	ML8.1c	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	7.87	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Papua New Guinea Upa-UpasiMissing:not provided CO2 Seep	sponge metagenome	Poecilosclerida	1740	1163772	SpongeMicrobiome Project	30.4
