feature-id	age	age_units	anonymized_name	body_habitat	body_product	body_site	cage_location	cage_number	collection_timestamp	description	diet	dna_extracted	dob	elevation	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	expected_duration	exposure_start	exposure_type	genotype	geo_loc_name	host_common_name	host_scientific_name	host_subject_id	host_taxid	latitude	life_stage	longitude	mouse_number	physical_specimen_location	physical_specimen_remaining	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	sample_type	scientific_name	sex	taxon_id	title	weekly_cage_food_consumption	weight	weight_units	org_index
10422.25.F.10	14.5	weeks	25-F-10	UBERON:feces	UBERON:feces	UBERON:feces	On counter	7	2016-03-18 10:00	feces mouse 25 collection 10 of 13	HFD	True	12/8/16	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	6 weeks	2/16/16	Air	LDLR knockout	USA:CA:San Diego	mouse	Mus musculus	Mouse 25	10090	32.842	Adult	-117.258	25	UCSD LBR -80 freezer	True	Host-associated	Animal	Animal distal gut	10422	stool	mouse gut metagenome	male	410661	OSA	Missing: Not provided	27.8	g	10422.25.F.10
10422.29.F.13	16.0	weeks	29-F-13	UBERON:feces	UBERON:feces	UBERON:feces	On counter	8	2016-03-29 10:00	final feces mouse 29 collection 13 of 13	HFD	True	12/8/16	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	6 weeks	2/16/16	Air	LDLR knockout	USA:CA:San Diego	mouse	Mus musculus	Mouse 29	10090	32.842	Adult	-117.258	29	UCSD LBR -80 freezer	True	Host-associated	Animal	Animal distal gut	10422	stool	mouse gut metagenome	male	410661	OSA	94	32.6	g	10422.29.F.13
10422.25.F.13	16.0	weeks	25-F-13	UBERON:feces	UBERON:feces	UBERON:feces	On counter	7	2016-03-29 10:00	final feces mouse 25 collection 13 of 13	HFD	True	12/8/16	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	6 weeks	2/16/16	Air	LDLR knockout	USA:CA:San Diego	mouse	Mus musculus	Mouse 25	10090	32.842	Adult	-117.258	25	UCSD LBR -80 freezer	True	Host-associated	Animal	Animal distal gut	10422	stool	mouse gut metagenome	male	410661	OSA	89.8	28.7	g	10422.25.F.13
10422.26.F.6	12.5	weeks	26-F-6	UBERON:feces	UBERON:feces	UBERON:feces	On counter	7	2016-03-04 10:00	feces mouse 26 collection 6 of 13	HFD	True	12/8/16	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	6 weeks	2/16/16	Air	LDLR knockout	USA:CA:San Diego	mouse	Mus musculus	Mouse 26	10090	32.842	Adult	-117.258	26	UCSD LBR -80 freezer	True	Host-associated	Animal	Animal distal gut	10422	stool	mouse gut metagenome	male	410661	OSA	Missing: Not provided	27.0	g	10422.26.F.6
10422.25.F.8	13.5	weeks	25-F-8	UBERON:feces	UBERON:feces	UBERON:feces	On counter	7	2016-03-11 10:00	feces mouse 25 collection 8 of 13	HFD	True	12/8/16	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	6 weeks	2/16/16	Air	LDLR knockout	USA:CA:San Diego	mouse	Mus musculus	Mouse 25	10090	32.842	Adult	-117.258	25	UCSD LBR -80 freezer	True	Host-associated	Animal	Animal distal gut	10422	stool	mouse gut metagenome	male	410661	OSA	Missing: Not provided	26.9	g	10422.25.F.8
10422.26.F.7	13.0	weeks	26-F-7	UBERON:feces	UBERON:feces	UBERON:feces	On counter	7	2016-03-08 10:00	feces mouse 26 collection 7 of 13	HFD	True	12/8/16	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	6 weeks	2/16/16	Air	LDLR knockout	USA:CA:San Diego	mouse	Mus musculus	Mouse 26	10090	32.842	Adult	-117.258	26	UCSD LBR -80 freezer	True	Host-associated	Animal	Animal distal gut	10422	stool	mouse gut metagenome	male	410661	OSA	82.6	27.3	g	10422.26.F.7
10422.28.F.10	14.5	weeks	28-F-10	UBERON:feces	UBERON:feces	UBERON:feces	On counter	7	2016-03-18 10:00	feces mouse 28 collection 10 of 13	HFD	True	12/8/16	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	6 weeks	2/16/16	Air	LDLR knockout	USA:CA:San Diego	mouse	Mus musculus	Mouse 28	10090	32.842	Adult	-117.258	28	UCSD LBR -80 freezer	True	Host-associated	Animal	Animal distal gut	10422	stool	mouse gut metagenome	male	410661	OSA	Missing: Not provided	27.9	g	10422.28.F.10
10422.26.F.13	16.0	weeks	26-F-13	UBERON:feces	UBERON:feces	UBERON:feces	On counter	7	2016-03-29 10:00	final feces mouse 26 collection 13 of 13	HFD	True	12/8/16	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	6 weeks	2/16/16	Air	LDLR knockout	USA:CA:San Diego	mouse	Mus musculus	Mouse 26	10090	32.842	Adult	-117.258	26	UCSD LBR -80 freezer	True	Host-associated	Animal	Animal distal gut	10422	stool	mouse gut metagenome	male	410661	OSA	89.8	29.6	g	10422.26.F.13
10422.30.F.4	11.5	weeks	30-F-4	UBERON:feces	UBERON:feces	UBERON:feces	On counter	8	2016-02-26 10:00	feces mouse 30 collection 4 of 13	HFD	True	12/8/16	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	6 weeks	2/16/16	Air	LDLR knockout	USA:CA:San Diego	mouse	Mus musculus	Mouse 30	10090	32.842	Adult	-117.258	30	UCSD LBR -80 freezer	True	Host-associated	Animal	Animal distal gut	10422	stool	mouse gut metagenome	male	410661	OSA	Missing: Not provided	24.4	g	10422.30.F.4
10422.28.F.3	11.0	weeks	28-F-3	UBERON:feces	UBERON:feces	UBERON:feces	On counter	7	2016-02-23 10:00	feces mouse 28 collection 3 of 13	HFD	True	12/8/16	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	6 weeks	2/16/16	Air	LDLR knockout	USA:CA:San Diego	mouse	Mus musculus	Mouse 28	10090	32.842	Adult	-117.258	28	UCSD LBR -80 freezer	True	Host-associated	Animal	Animal distal gut	10422	stool	mouse gut metagenome	male	410661	OSA	92.1	25.1	g	10422.28.F.3
