,,,Bray_Curtis,GUniFrac_Alpha_One,Robust_Aitchison
1,790,p-value,0.001,0.001,0.001
1,790,test statistic,6.918728244765871,7.318754628862758,27.807485223044022
2,270,p-value,0.001,0.02,0.001
2,270,test statistic,3.146042398676133,3.095325768370374,12.563646008216939
2,430,p-value,0.001,0.001,0.001
2,430,test statistic,4.597202718571454,5.341154836682087,20.26524251629809
2,630,p-value,0.001,0.002,0.001
2,630,test statistic,6.0115903875128724,6.918728661837151,28.807353923245547
2,790,p-value,0.001,0.001,0.001
2,790,test statistic,7.501336295284151,8.819834342971498,37.52524881645406
3,70,p-value,0.002,0.241,0.001
3,70,test statistic,1.9733110522616348,1.2506454606616562,8.878069392837643
3,270,p-value,0.001,0.018,0.001
3,270,test statistic,3.4558699090630904,3.143278906606611,11.803068069921128
3,430,p-value,0.001,0.001,0.001
3,430,test statistic,5.261994824975621,5.717483121820506,27.146156834237402
3,630,p-value,0.001,0.001,0.001
3,630,test statistic,6.807693791431239,6.847779593626138,33.154184840011006
3,790,p-value,0.001,0.001,0.001
3,790,test statistic,7.538233038472011,7.76795451402794,39.210737906070236
4,270,p-value,0.001,0.004,0.001
4,270,test statistic,2.7325043820855766,4.85827681879732,9.475379809454788
4,430,p-value,0.001,0.002,0.001
4,430,test statistic,3.797674879150506,4.478923698528443,19.31104025391647
4,630,p-value,0.001,0.002,0.001
4,630,test statistic,5.299594421022737,5.134574873293455,25.612757965713623
4,790,p-value,0.001,0.001,0.001
4,790,test statistic,6.412537046529307,6.491133036205397,35.54569826461704
5,430,p-value,0.001,0.004,0.001
5,430,test statistic,3.9556677203012955,4.032153233281455,21.361533326915293
5,630,p-value,0.001,0.004,0.001
5,630,test statistic,5.464996256841907,4.880245637745708,28.332549664453104
5,790,p-value,0.001,0.001,0.001
5,790,test statistic,7.134139633669328,7.097754557455762,36.18225099935129
6,270,p-value,0.001,0.019,0.001
6,270,test statistic,3.62570199510253,3.085148679671115,16.561096772944648
6,430,p-value,0.001,0.002,0.001
6,430,test statistic,4.458455035263682,4.52893001480795,18.324774511011803
6,630,p-value,0.001,0.001,0.001
6,630,test statistic,5.603096451959694,4.681921359320199,24.680378433230203
6,790,p-value,0.001,0.001,0.001
6,790,test statistic,6.949979877609795,6.141909707481154,35.06088664484007
7,790,p-value,0.001,0.001,0.001
7,790,test statistic,7.874581153654286,8.678201091317053,34.09822941900898
8,70,p-value,0.003,0.188,0.001
8,70,test statistic,1.8526865917685305,1.4409908741555812,6.763833095130688
8,270,p-value,0.001,0.002,0.001
8,270,test statistic,3.265451762070573,4.647313391320936,9.301617910457049
8,430,p-value,0.001,0.004,0.001
8,430,test statistic,3.6847718394472153,4.550078650787223,12.350384271877061
8,630,p-value,0.001,0.001,0.001
8,630,test statistic,5.935278833951589,9.907557805366855,25.525221475815904
8,790,p-value,0.001,0.001,0.001
8,790,test statistic,7.798315972936345,10.70151092582711,36.270965436513734
9,790,p-value,0.001,0.001,0.001
9,790,test statistic,7.501217748075612,7.855192288986287,35.24927053124592
