,,,Bray_Curtis,GUniFrac_Alpha_One,Robust_Aitchison
1,70,R^{2},0.6785714285714286,0.42857142857142855,0.7142857142857143
1,110,R^{2},0.5897435897435898,0.38461538461538464,0.8461538461538461
1,150,R^{2},0.8035714285714286,0.44642857142857145,0.8392857142857143
1,184,R^{2},0.8513513513513513,0.4864864864864865,0.8783783783783784
2,70,R^{2},0.7407407407407407,0.4074074074074074,0.8148148148148148
2,110,R^{2},0.7209302325581395,0.37209302325581395,0.8372093023255814
2,150,R^{2},0.7903225806451613,0.45161290322580644,0.8709677419354839
2,184,R^{2},0.8243243243243243,0.47297297297297297,0.8783783783783784
3,70,R^{2},0.7391304347826086,0.43478260869565216,0.9130434782608695
3,110,R^{2},0.8205128205128205,0.4358974358974359,0.8717948717948718
3,150,R^{2},0.8064516129032258,0.5,0.9032258064516129
3,184,R^{2},0.8108108108108109,0.4594594594594595,0.8783783783783784
4,70,R^{2},0.42857142857142855,0.39285714285714285,0.7857142857142857
4,110,R^{2},0.66,0.44,0.82
4,150,R^{2},0.8,0.5666666666666667,0.8666666666666667
4,184,R^{2},0.7972972972972973,0.4864864864864865,0.8783783783783784
5,70,R^{2},0.6296296296296297,0.5185185185185185,0.8518518518518519
5,110,R^{2},0.7619047619047619,0.47619047619047616,0.8333333333333334
5,150,R^{2},0.8275862068965517,0.39655172413793105,0.8793103448275862
5,184,R^{2},0.8108108108108109,0.5135135135135135,0.8783783783783784
6,70,R^{2},0.6296296296296297,0.4444444444444444,0.8888888888888888
6,110,R^{2},0.6595744680851063,0.5106382978723404,0.8936170212765957
6,150,R^{2},0.7936507936507936,0.4603174603174603,0.8888888888888888
6,184,R^{2},0.8243243243243243,0.5,0.8783783783783784
7,70,R^{2},0.7096774193548387,0.7096774193548387,0.8064516129032258
7,110,R^{2},0.8863636363636364,0.4318181818181818,0.8863636363636364
7,150,R^{2},0.8524590163934426,0.5081967213114754,0.9016393442622951
7,184,R^{2},0.8108108108108109,0.5,0.8783783783783784
8,70,R^{2},0.7407407407407407,0.4444444444444444,0.8888888888888888
8,110,R^{2},0.9047619047619048,0.35714285714285715,0.9285714285714286
8,150,R^{2},0.85,0.38333333333333336,0.9166666666666666
8,184,R^{2},0.8108108108108109,0.44594594594594594,0.8783783783783784
9,70,R^{2},0.4117647058823529,0.4411764705882353,0.8529411764705882
9,110,R^{2},0.6956521739130435,0.41304347826086957,0.8695652173913043
9,150,R^{2},0.8392857142857143,0.44642857142857145,0.8928571428571429
9,184,R^{2},0.8108108108108109,0.4864864864864865,0.8783783783783784
