,,,Bray_Curtis,GUniFrac_Alpha_Half,GUniFrac_Alpha_One,GUniFrac_Alpha_Zero,Jaccard,Robust_Aitchison
1,30,p-value,0.002,0.001,0.021,0.001,0.001,0.001
1,30,test statistic,4.380812856963238,4.1535327304183065,2.667794737128136,3.4772144655420996,4.089560144941225,13.785260936024285
1,70,p-value,0.002,0.001,0.106,0.001,0.001,0.001
1,70,test statistic,5.122568818308329,4.09441267967733,2.1884254571098243,4.428879061451793,5.403176354389386,20.993138505171093
1,110,p-value,0.001,0.001,0.016,0.001,0.001,0.001
1,110,test statistic,8.374071037303246,6.948631683098099,3.9676783858199576,7.081653854819618,7.210883429999927,36.85526212705594
1,150,p-value,0.001,0.001,0.001,0.001,0.001,0.001
1,150,test statistic,12.335932749383133,10.611804931990754,6.083296136360543,10.370704541858935,10.52067746525625,56.619289983878616
1,184,p-value,0.001,0.001,0.001,0.001,0.001,0.001
1,184,test statistic,18.170041009930127,14.911825105617025,9.493059327396082,12.968823715664278,13.778744770829643,79.77999090636638
2,30,p-value,0.001,0.001,0.006,0.001,0.001,0.001
2,30,test statistic,4.922320705007406,4.3581064301158525,3.1379791385584554,3.3821801890074994,3.4120763100163902,17.139461283297162
2,70,p-value,0.001,0.001,0.015,0.001,0.001,0.001
2,70,test statistic,7.314363988222047,6.451326499848832,3.665770222702423,5.706814363743953,6.480022498077032,34.62668889917669
2,110,p-value,0.001,0.001,0.01,0.001,0.001,0.001
2,110,test statistic,8.768397927201697,7.2799185423908215,4.152687435008979,6.882398425327165,7.023341270069549,44.55936894282023
2,150,p-value,0.001,0.001,0.001,0.001,0.001,0.001
2,150,test statistic,12.548327637922068,10.603973152979902,6.259083320266475,10.009711835795278,10.86646821583913,57.8477971776754
2,184,p-value,0.001,0.001,0.001,0.001,0.001,0.001
2,184,test statistic,17.848367655812897,15.064645217996526,9.408239355022713,13.145203184461167,14.257910678410713,79.77999090636638
3,30,p-value,0.002,0.001,0.039,0.001,0.001,0.001
3,30,test statistic,5.520314284372932,5.059274270387212,2.5436264058938467,4.46185549950829,5.052873984782534,17.728007486651116
3,70,p-value,0.001,0.001,0.002,0.001,0.001,0.001
3,70,test statistic,9.121936285352774,8.534418852994422,4.947719134141378,7.87272749115238,7.6882557860666525,36.09207358479935
3,110,p-value,0.001,0.001,0.001,0.001,0.001,0.001
3,110,test statistic,13.01916564951148,11.832885510375343,7.042373286725376,10.45445932067992,10.911116716956235,53.85656950351225
3,150,p-value,0.001,0.001,0.001,0.001,0.001,0.001
3,150,test statistic,15.912498287877527,13.472089753348026,7.84598174157161,11.941306931799561,13.147245178673074,70.22470104530525
3,184,p-value,0.001,0.001,0.001,0.001,0.001,0.001
3,184,test statistic,18.24660927831979,15.41092733210227,9.658857859438333,13.559967017474408,14.675160486283794,79.77999090636638
4,30,p-value,0.006,0.044,0.166,0.001,0.001,0.001
4,30,test statistic,3.1016915330690145,2.680093490026122,1.7812345037589796,2.7186986018299155,2.951079279472059,14.27973668893479
4,70,p-value,0.001,0.001,0.026,0.001,0.001,0.001
4,70,test statistic,6.687345899730485,5.686347544573496,3.3332066382236754,5.774566340626023,5.585950742563168,28.549939559647413
4,110,p-value,0.001,0.001,0.002,0.001,0.001,0.001
4,110,test statistic,11.58778449954463,9.124723022795152,5.49534767989766,8.629268796222728,9.488772712161369,47.467744182673385
4,150,p-value,0.001,0.001,0.001,0.001,0.001,0.001
4,150,test statistic,14.694586984635286,12.294108187972169,7.67735257357208,10.920140907225207,10.761567014495538,64.62935260224455
4,184,p-value,0.001,0.001,0.001,0.001,0.001,0.001
4,184,test statistic,18.088058762463582,14.90876436424646,9.428496151812743,12.927166243498426,14.218745864311533,79.77999090636638
5,30,p-value,0.006,0.001,0.001,0.001,0.001,0.001
5,30,test statistic,3.261169398476142,3.5027310756850554,3.8740572746400814,2.8642995437517484,2.907666785098633,9.807877536756346
5,70,p-value,0.001,0.001,0.01,0.001,0.001,0.001
5,70,test statistic,6.914609680812116,5.431050821074855,4.058393055040963,4.736639599612044,5.166819680893864,27.411492149435816
5,110,p-value,0.001,0.001,0.006,0.001,0.001,0.001
5,110,test statistic,9.48059711290079,7.450882510386094,4.97634123085256,7.0544141465256525,7.565269276334252,45.5373816889434
5,150,p-value,0.001,0.001,0.001,0.001,0.001,0.001
5,150,test statistic,14.010305352492761,11.409420813729684,7.224306881623466,10.521045674303034,10.981982593962295,62.43989298723912
5,184,p-value,0.001,0.001,0.001,0.001,0.001,0.001
5,184,test statistic,18.421153975441214,15.237735227739398,9.502236847095746,13.632027906219738,15.426978787838873,79.77999090636638
6,30,p-value,0.002,0.001,0.025,0.001,0.001,0.001
