,,,Bray_Curtis,GUniFrac_Alpha_One,Robust_Aitchison
1,70,R^{2},0.9,0.9,0.9333333333333333
1,110,R^{2},0.9534883720930233,0.9302325581395349,0.9534883720930233
1,150,R^{2},0.9491525423728814,0.9491525423728814,0.9491525423728814
1,158,R^{2},0.9523809523809523,0.9523809523809523,0.9523809523809523
2,70,R^{2},0.9310344827586207,0.896551724137931,0.896551724137931
2,110,R^{2},0.9130434782608695,0.9130434782608695,0.9565217391304348
2,150,R^{2},0.9344262295081968,0.9344262295081968,0.9344262295081968
2,158,R^{2},0.9375,0.9375,0.9375
3,70,R^{2},0.8928571428571429,0.9285714285714286,0.8928571428571429
3,110,R^{2},0.9111111111111111,0.9111111111111111,0.9333333333333333
3,150,R^{2},0.9344262295081968,0.9344262295081968,0.9180327868852459
3,158,R^{2},0.9354838709677419,0.9354838709677419,0.9193548387096774
4,70,R^{2},0.8928571428571429,0.8928571428571429,0.9642857142857143
4,110,R^{2},0.9318181818181818,0.9318181818181818,0.9772727272727273
4,150,R^{2},0.9827586206896551,0.9827586206896551,0.9655172413793104
4,158,R^{2},0.9841269841269841,0.9841269841269841,0.9682539682539683
5,70,R^{2},0.9393939393939394,0.9090909090909091,0.9393939393939394
5,110,R^{2},0.94,0.94,0.94
5,150,R^{2},0.9384615384615385,0.9384615384615385,0.9384615384615385
5,158,R^{2},0.9402985074626866,0.9402985074626866,0.9402985074626866
6,70,R^{2},0.8518518518518519,0.8148148148148148,0.8888888888888888
6,110,R^{2},0.8695652173913043,0.8695652173913043,0.9130434782608695
6,150,R^{2},0.9344262295081968,0.9344262295081968,0.9344262295081968
6,158,R^{2},0.9384615384615385,0.9384615384615385,0.9384615384615385
7,70,R^{2},0.9354838709677419,0.9354838709677419,0.9354838709677419
7,110,R^{2},0.9375,0.9375,0.9791666666666666
7,150,R^{2},0.9838709677419355,0.9838709677419355,0.967741935483871
7,158,R^{2},0.9841269841269841,0.9841269841269841,0.9682539682539683
8,70,R^{2},0.8571428571428571,0.8214285714285714,0.9285714285714286
8,110,R^{2},0.8947368421052632,0.8947368421052632,0.9473684210526315
8,150,R^{2},0.95,0.95,0.95
8,158,R^{2},0.9375,0.9375,0.9375
9,70,R^{2},0.9310344827586207,0.9310344827586207,0.9655172413793104
9,110,R^{2},0.9512195121951219,0.975609756097561,0.975609756097561
9,150,R^{2},0.9649122807017544,0.9649122807017544,0.9473684210526315
9,158,R^{2},0.967741935483871,0.967741935483871,0.9354838709677419
