,,,Bray_Curtis,GUniFrac_Alpha_Half,GUniFrac_Alpha_One,GUniFrac_Alpha_Zero,Jaccard,Robust_Aitchison
1,30,p-value,0.001,0.001,0.001,0.001,0.001,0.001
1,30,test statistic,15.313958488507046,22.834783688509436,35.440931331782984,10.120799985589676,11.383566965187727,81.54882491424755
1,70,p-value,0.001,0.001,0.001,0.001,0.001,0.001
1,70,test statistic,30.55407620042036,41.84552084670616,55.43210815550466,19.950783452853162,22.694639183974555,179.44966387679548
1,110,p-value,0.001,0.001,0.001,0.001,0.001,0.001
1,110,test statistic,53.05935903556328,70.67925699284073,93.59998373178593,33.412645277701294,38.27200779121766,290.1418241176189
1,150,p-value,0.001,0.001,0.001,0.001,0.001,0.001
1,150,test statistic,68.85030692887743,95.91900615609205,127.6910348769795,44.84547777466316,52.209290774216036,377.22424659672873
1,158,p-value,0.001,0.001,0.001,0.001,0.001,0.001
1,158,test statistic,74.51175725504673,103.44727735515602,140.04272589438696,48.022753073211646,56.379457421354395,404.5245669568229
1,248,p-value,0.001,0.001,0.001,0.001,0.001,0.001
1,248,test statistic,84.76570118531805,114.82812478465078,164.1504915663305,53.03249889483521,61.12710741177905,361.4373359119988
2,30,p-value,0.001,0.001,0.001,0.001,0.001,0.001
2,30,test statistic,19.812216983934242,24.867421979837733,32.79904685591927,10.820532755402935,12.738645460812695,92.35203403585794
2,70,p-value,0.001,0.001,0.001,0.001,0.001,0.001
2,70,test statistic,35.226085791863056,45.33875667664237,59.36365910878223,21.83324950947312,24.62207493482375,135.73987767388968
2,110,p-value,0.001,0.001,0.001,0.001,0.001,0.001
2,110,test statistic,56.390151642063024,69.8584313027975,90.40338898556564,33.43661515016256,38.12106528567462,241.38071325609485
2,150,p-value,0.001,0.001,0.001,0.001,0.001,0.001
2,150,test statistic,75.26418714609251,98.07916094356345,134.72324106578745,44.94023081008525,51.84820137689424,382.22569557611996
2,158,p-value,0.001,0.001,0.001,0.001,0.001,0.001
2,158,test statistic,77.2324372331872,101.29882243850416,137.58584856367057,46.71225154837113,53.76842249621251,395.5842518088568
2,248,p-value,0.001,0.001,0.001,0.001,0.001,0.001
2,248,test statistic,85.66755361782636,116.47212711631016,166.5690930328335,53.87980782380909,62.15785387318382,361.4373359119988
3,30,p-value,0.001,0.001,0.001,0.001,0.001,0.001
3,30,test statistic,19.649782372002875,24.888900466436912,38.86408527051134,11.700264270843546,13.37265971951825,68.90319976841415
3,70,p-value,0.001,0.001,0.001,0.001,0.001,0.001
3,70,test statistic,40.42911839271983,50.11887072952783,74.66718382184165,23.358482455629193,27.839082430725092,174.35182964641618
3,110,p-value,0.001,0.001,0.001,0.001,0.001,0.001
3,110,test statistic,49.79803847581832,64.6830451640566,93.4797023845042,30.563199615254444,35.57243363592047,230.0376088512241
3,150,p-value,0.001,0.001,0.001,0.001,0.001,0.001
3,150,test statistic,67.3153309923291,85.9214197336177,120.76002159466486,40.753731415907005,47.901172111739264,313.4395475707098
3,158,p-value,0.001,0.001,0.001,0.001,0.001,0.001
3,158,test statistic,68.70261843771891,89.8858739369704,124.95112798970453,42.7501674149953,50.380713283940494,328.03889320805615
3,248,p-value,0.001,0.001,0.001,0.001,0.001,0.001
3,248,test statistic,85.5196386213594,116.76989823588197,165.97780777342413,54.58874169315928,62.637878261471236,361.4373359119988
4,30,p-value,0.001,0.001,0.001,0.001,0.001,0.001
4,30,test statistic,11.538962805967701,16.024398736060355,21.68931246783225,7.684688337753971,8.802444827893577,80.56532160519835
4,70,p-value,0.001,0.001,0.001,0.001,0.001,0.001
4,70,test statistic,30.054922403136462,37.342308587820156,54.547786892920016,17.999095380619195,21.260248423522956,142.30531065686895
4,110,p-value,0.001,0.001,0.001,0.001,0.001,0.001
4,110,test statistic,49.97980360710892,68.36875220611944,97.70772454995667,31.55172877871505,36.44405278486578,257.5495585515013
4,150,p-value,0.001,0.001,0.001,0.001,0.001,0.001
4,150,test statistic,72.64289022109871,98.99618307388079,136.9083780224062,45.358251137341114,52.09483321651849,375.5223226499066
4,158,p-value,0.001,0.001,0.001,0.001,0.001,0.001
4,158,test statistic,75.22655432924688,105.42498883669532,146.49327766716854,48.06876931448671,55.50546507747483,397.60802282681516
4,248,p-value,0.001,0.001,0.001,0.001,0.001,0.001
4,248,test statistic,85.92567680929352,116.00737135268392,167.74114079398652,52.939663930361206,61.15667365659902,361.4373359119988
5,30,p-value,0.001,0.001,0.001,0.001,0.001,0.001
5,30,test statistic,21.826744398684518,30.1379753189721,55.48374674911851,11.929911085191067,13.518631066903763,126.24897969021612
5,70,p-value,0.001,0.001,0.001,0.001,0.001,0.001
5,70,test statistic,31.544586983343592,43.39216043321129,55.073583751460156,20.157700941801988,22.192264697662424,187.0856216672706
5,110,p-value,0.001,0.001,0.001,0.001,0.001,0.001
5,110,test statistic,56.74267567629927,79.46804586418766,107.66161523359686,35.56559568795589,39.8326341335152,332.5744346557313
5,150,p-value,0.001,0.001,0.001,0.001,0.001,0.001
5,150,test statistic,73.4767763753767,99.33202941330943,133.45666589227005,45.87283086783948,53.37517236679049,384.4389647987544
5,158,p-value,0.001,0.001,0.001,0.001,0.001,0.001
5,158,test statistic,79.5234600730965,107.9759185685624,146.3388291688272,48.595776337452655,56.585790489334045,429.3172457784516
5,248,p-value,0.001,0.001,0.001,0.001,0.001,0.001
5,248,test statistic,86.01188928132886,117.09629297188036,167.81133052087986,54.37571744181383,62.411279214866966,361.4373359119988
6,30,p-value,0.001,0.001,0.001,0.001,0.001,0.001
6,30,test statistic,12.747881913928282,18.96037052204012,23.862486587123364,9.392701013724826,10.440178455451612,71.49518550078973
6,70,p-value,0.001,0.001,0.001,0.001,0.001,0.001
6,70,test statistic,29.339150301804313,40.95332314337817,53.356190510016184,19.82870577939239,21.641039120867546,144.9903370017638
6,110,p-value,0.001,0.001,0.001,0.001,0.001,0.001
6,110,test statistic,46.31943600855382,64.49569094817579,85.71316114815546,30.687094816409033,34.93275061238596,229.662989354739
6,150,p-value,0.001,0.001,0.001,0.001,0.001,0.001
6,150,test statistic,64.80064473208392,89.18621155002673,122.6159631100905,41.9615441098171,47.29557618195384,320.15881405316634
6,158,p-value,0.001,0.001,0.001,0.001,0.001,0.001
6,158,test statistic,70.4430721075597,95.79460998673336,134.8240460763391,44.309452486916236,50.548559029171976,343.49142622162077
6,248,p-value,0.001,0.001,0.001,0.001,0.001,0.001
6,248,test statistic,85.48527047176246,116.03709937651284,166.1434320509278,54.497901533935135,62.724830914632285,361.4373359119988
7,30,p-value,0.001,0.001,0.001,0.001,0.001,0.001
7,30,test statistic,10.793290890958614,13.617435697799268,15.381100583498288,7.648574018778493,8.641073483345712,58.76782082358013
7,70,p-value,0.001,0.001,0.001,0.001,0.001,0.001
7,70,test statistic,28.467432436282305,40.07271794989935,50.5172487303722,20.084984446100357,22.731781473162325,134.79361349576885
7,110,p-value,0.001,0.001,0.001,0.001,0.001,0.001
7,110,test statistic,52.12382214249827,71.59986151520245,93.80102530411152,34.04063215925371,38.841720163062625,279.3896576768667
7,150,p-value,0.001,0.001,0.001,0.001,0.001,0.001
7,150,test statistic,77.18189586901799,108.05381969745795,145.74057876951872,48.9265345707964,56.2975647122005,445.3751639299882
7,158,p-value,0.001,0.001,0.001,0.001,0.001,0.001
7,158,test statistic,80.34282959234443,111.16263082157116,152.55407889378586,50.12488358912047,58.17832790939852,432.7679251389188
7,248,p-value,0.001,0.001,0.001,0.001,0.001,0.001
7,248,test statistic,85.54053094738886,116.24368048155887,166.43896612807583,53.807958372828644,62.26989136652802,361.4373359119988
8,30,p-value,0.001,0.001,0.001,0.001,0.001,0.001
8,30,test statistic,10.846657991247394,14.725897260280316,20.50396753294665,7.988021512401428,9.41662268832069,43.50306025771442
8,70,p-value,0.001,0.001,0.001,0.001,0.001,0.001
8,70,test statistic,21.562551570723546,28.219495176313345,37.86086982036127,14.571946546892905,16.875911943158446,105.4939700557335
8,110,p-value,0.001,0.001,0.001,0.001,0.001,0.001
8,110,test statistic,40.7318399531272,54.62901696656471,74.42892712264943,27.044693393648977,31.03820785758915,188.62542863819476
8,150,p-value,0.001,0.001,0.001,0.001,0.001,0.001
8,150,test statistic,65.138908174447,90.41098520785766,125.13784900865498,42.7291377681425,48.24933899920903,305.77551337555536
8,158,p-value,0.001,0.001,0.001,0.001,0.001,0.001
8,158,test statistic,69.84113656415538,95.90020734040564,132.87723242156528,45.49830238713056,52.32103825513861,319.37650074732034
8,248,p-value,0.001,0.001,0.001,0.001,0.001,0.001
8,248,test statistic,85.11072557060052,115.9703106657669,164.3243515097059,54.219033625376696,62.39240959021042,361.4373359119988
9,30,p-value,0.001,0.001,0.001,0.001,0.001,0.001
9,30,test statistic,10.834981382183893,15.89845438304991,18.911585815482713,8.113427713702373,8.966419890553071,47.843982294691095
9,70,p-value,0.001,0.001,0.001,0.001,0.001,0.001
9,70,test statistic,23.26842114870284,31.800046182477793,40.643772294294486,16.830613296119047,19.85894590991544,97.09942635840066
9,110,p-value,0.001,0.001,0.001,0.001,0.001,0.001
9,110,test statistic,48.63552691175783,68.95710418974284,92.16561717936578,32.89503438226305,38.45781301895181,188.787799433446
9,150,p-value,0.001,0.001,0.001,0.001,0.001,0.001
9,150,test statistic,67.30838411642554,92.41224687233242,126.56345223433786,43.57598971911879,51.15919090192988,286.4386601702941
9,158,p-value,0.001,0.001,0.001,0.001,0.001,0.001
9,158,test statistic,72.17404189303004,98.4702669328115,136.61944852115917,46.204437477566294,52.795403486452244,311.67643696376877
9,248,p-value,0.001,0.001,0.001,0.001,0.001,0.001
9,248,test statistic,85.20665961921176,115.81552065800003,165.4818580984011,53.76866152206769,62.44573785076146,361.4373359119988
