	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S309	L2S357	L2S382	L3S242	L3S294	L3S313	L3S341	L3S360	L3S378	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
L1S105	0.0	3.4592149070850513	4.207618637231092	4.898466258893008	4.463725459375113	1.4288582317881833	1.670635639993669	0.9324650539659131	3.9953736090295298	3.9599596351454482	2.8977108385172192	2.7591502472390794	4.741090895688899	3.206689327360653	3.6960199943673517	3.6823272099693933	1.7267446023163622	3.2163565749454657	3.7240174526317196	2.844054691191669	2.928144140247896	3.352256586211859	3.85501778586588	5.087060617146215	3.8025683756615543	4.25397199842165	3.635349791127303	3.433403695641057	3.280793098828073	3.691138889660877	3.528105969387669	3.8098657289817726	3.6840949789329955	3.4305426833801906
L1S140	3.4592149070850513	0.0	1.4279191203789872	1.7612578463685202	1.2736301357635118	2.784498164163707	2.237563973053296	3.4918724420334746	3.324880409588494	3.4296970326513048	3.6798727640439157	2.9809266784119592	3.5761752349738276	2.952822545229312	3.2498119513616692	2.9867455012006134	2.559926494286269	2.7210527911583604	3.287182379986618	2.8821921943621676	3.2208668644060903	1.1529309017365759	3.920134769294369	4.5289976543960755	3.9254105300195055	3.914154209378144	3.5182377944925807	2.920726563677889	3.475754563457717	2.6987764791369484	2.5731580016491264	3.1921200664669986	3.2418621074497724	3.6003486913621963
L1S208	4.207618637231092	1.4279191203789872	0.0	1.4644248965285012	1.7592595046555815	3.8284926750751076	3.3695157298062837	4.128271449956826	3.0902870188134663	3.4541417407929873	3.7942296042293213	3.1933260235350254	4.152175713446015	3.0780394028584066	3.348473828977637	3.5744220387202263	3.1364740575511836	2.7488615688274733	3.314068484430926	3.0596949405765326	3.393770497875719	1.1532076403471576	4.235142225774135	5.05192323329527	3.9744405743614295	4.085105549734482	3.9171547822986446	3.692744252091702	4.141165061963721	3.4802627092988927	3.37635139925307	4.016140396174728	4.073959328763459	4.411406975652404
L1S257	4.898466258893008	1.7612578463685202	1.4644248965285012	0.0	0.8837611817250195	4.266007778655891	3.6920400931667747	4.978179566878688	3.252306240992182	3.670000199474353	4.067608859914249	3.4769156714548584	3.647307291697886	3.3432638424695553	3.606025471189558	3.8879848070095298	3.8687941407427053	3.0020610530254346	3.602591700443144	3.526468440466689	3.599727727340642	1.8548485599611642	4.47108750048033	5.325207107297408	3.9842653330680555	3.727752455480806	3.7929328196256455	3.459792436009884	3.928972429796969	3.0275976631775916	3.2443761355722947	3.5728310794820515	3.6721909546973004	4.090334124178176
L1S281	4.463725459375113	1.2736301357635118	1.7592595046555815	0.8837611817250195	0.0	3.7151681523949796	3.090601039025505	4.572270559677036	3.3428015123843426	3.5640194536723286	4.016895010347516	3.345380819364445	3.2973455935967575	3.214542614316815	3.473945612551881	3.4430274359231365	3.5347884299674397	2.954492314293206	3.508710031423527	3.3503562399007425	3.5105224107637016	1.8185946628475436	4.173053901538011	4.875595921899431	3.9658803692212725	3.7027239214831122	3.5739093791171292	3.0187360757250197	3.567989007902396	2.6080562011070825	2.7412179389696636	3.080621450434572	3.173521514595757	3.6452645716898235
L1S57	1.4288582317881833	2.784498164163707	3.8284926750751076	4.266007778655891	3.7151681523949796	0.0	0.8039410401305633	1.8767172231156501	4.267050930341359	4.148484553691797	3.272924327684045	2.8726398376356803	4.0086183408833564	3.3797856006039644	3.7515110989511866	3.4194805322622495	1.5824646231648203	3.271929845369891	3.8414510041366925	3.11629505143801	3.038188947986501	2.8523009644462287	4.287467990200226	4.9526119693232245	4.173844798936583	4.034678759707127	3.348002409601956	2.6856217498651476	2.8510398502383683	2.765702592885404	2.8101717719883363	3.095283226140652	3.0398423066034073	2.833905056635032
L1S76	1.670635639993669	2.237563973053296	3.3695157298062837	3.6920400931667747	3.090601039025505	0.8039410401305633	0.0	2.058009653607272	3.6975583439015494	3.6121332149178103	3.015615638877818	2.5223277737669756	3.615410304219756	2.8796107181996096	3.308495497722236	3.0056213136037306	1.6432634845965026	2.8038339271224726	3.389899829269858	2.670851958914033	2.7234004750155947	2.466130352207562	3.6935143276619176	4.571832307126321	3.6740792808285616	3.6647149511362147	3.0251656389430277	2.35538473169509	2.545267672673753	2.4144910235746204	2.387052912200751	2.6573355573293074	2.589978056458314	2.542875220371292
L1S8	0.9324650539659131	3.4918724420334746	4.128271449956826	4.978179566878688	4.572270559677036	1.8767172231156501	2.058009653607272	0.0	4.0026711165367574	3.70665564409716	3.2205633116224384	2.8421848087475485	4.718098953193046	3.1181895342817794	3.4137956687031417	3.219916029486935	1.5085399759388423	3.202282923427657	3.44676167377313	2.646261869555842	3.100157314942497	3.336062221951846	3.6526795373764753	4.498756839195895	4.151748959386857	4.5233168145968445	3.701095689302398	3.559239515964409	3.5663286549517017	3.9727279395657917	3.4575705716650376	3.9970003547327195	3.8837061221550706	3.7937217140155997
L2S155	3.9953736090295298	3.324880409588494	3.0902870188134663	3.252306240992182	3.3428015123843426	4.267050930341359	3.6975583439015494	4.0026711165367574	0.0	1.5697350050539778	2.108108668194008	1.8513164395190052	3.845716098489842	1.2828496964565979	2.0025277247049917	3.4925014641227885	3.462513581446279	1.3253187856189772	1.814956268212437	1.6536240606442074	1.936960340707485	2.910229144890303	2.2186707813913746	4.812709989196197	1.6297810355585631	2.5380546289976973	2.7328693784839087	3.40566619884772	3.1128862019757872	3.569028305822522	3.37555070281991	3.439508059046917	3.343069688922508	3.5683632214126106
L2S175	3.9599596351454482	3.4296970326513048	3.4541417407929873	3.670000199474353	3.5640194536723286	4.148484553691797	3.6121332149178103	3.70665564409716	1.5697350050539778	0.0	2.796163473149746	1.9446552394409193	3.0813395227936184	1.0177388313842326	0.805932689165497	2.2547673341283474	3.1465233861687367	1.4799673330424676	0.6639372875420836	1.1883710618065124	2.2218117289205197	3.1051762501908633	1.576165876956619	3.3804707246257224	2.8610230364439775	2.852819592233761	2.2765911591562054	2.9246231645564627	2.8998886906186487	3.4519429067417984	2.6144711800764666	2.9873552773321053	2.8944889843609074	3.3661770586510795
